stage,group,metric,n,p10,p15,p20,median,p80,p85,p90
S0 raw,AFib,dynamic_range_mv,500,763.9,830.85,901.6,1244.5,1677.4,1858.65,2031.5
S0 raw,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0 raw,AFib,clip_pct,500,0.0,0.0,0.0,0.0,0.1333,0.2,0.2367
S0 raw,AFib,baseline_drift,500,7.28,8.6389,9.5902,17.0742,40.2128,49.3506,59.3064
S0 raw,AFib,hf_noise_ratio,500,0.0002,0.0002,0.0002,0.0006,0.0011,0.0013,0.0017
S0 raw,AFib,snr_proxy,500,0.287,0.411,0.5237,1.226,2.0522,2.2581,2.6648
S0 raw,AFib,kurt,500,2.3581,3.144,4.0073,8.4881,14.5328,15.7724,17.9386
S0 raw,AFib,n_peaks,500,11.0,11.0,12.0,14.5,19.0,20.0,21.0
S0 raw,AFib,mean_hr_bpm,500,64.3894,67.7778,70.3125,89.3084,118.4211,125.0009,134.3804
S0 raw,AFib,rr_cv,500,0.0998,0.1172,0.1336,0.1979,0.2723,0.2916,0.3267
S0 raw,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S0 raw,AFib,sqi_score_ecg,500,0.6367,0.6586,0.6825,0.7856,0.8642,0.8791,0.8944
S0 raw,Normal,dynamic_range_mv,500,691.0,805.1,888.0,1256.5,1832.8,2009.65,2307.7
S0 raw,Normal,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0 raw,Normal,clip_pct,500,0.0,0.0,0.0,0.0,0.2,0.2667,0.3
S0 raw,Normal,baseline_drift,500,7.8072,9.3292,10.7247,21.5501,47.7787,57.6605,78.5923
S0 raw,Normal,hf_noise_ratio,500,0.0002,0.0002,0.0003,0.0005,0.0011,0.0012,0.0015
S0 raw,Normal,snr_proxy,500,0.1585,0.2336,0.329,0.8394,1.5842,1.8027,2.1013
S0 raw,Normal,kurt,500,1.8468,2.3711,2.9371,7.7096,14.8175,16.2473,18.9708
S0 raw,Normal,n_peaks,500,10.0,10.0,11.0,12.0,15.0,15.0,16.0
S0 raw,Normal,mean_hr_bpm,499,59.5247,61.5807,63.3803,72.5806,86.1244,89.1089,95.2381
S0 raw,Normal,rr_cv,499,0.0101,0.0131,0.0168,0.0464,0.2084,0.2377,0.3107
S0 raw,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S0 raw,Normal,sqi_score_ecg,500,0.6079,0.6251,0.6409,0.7404,0.8413,0.8517,0.8769
S0 raw,Noisy,dynamic_range_mv,279,838.4,1098.2,1358.0,2978.0,5048.6,5562.5,6323.8
S0 raw,Noisy,flat_pct,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0 raw,Noisy,clip_pct,279,0.0,0.0,0.0,0.1,0.28,0.3333,0.44
S0 raw,Noisy,baseline_drift,279,22.8142,30.7854,34.7461,78.5954,149.8787,169.2417,204.6064
S0 raw,Noisy,hf_noise_ratio,279,0.0001,0.0001,0.0001,0.0003,0.0018,0.003,0.0046
S0 raw,Noisy,snr_proxy,279,0.0377,0.0495,0.0607,0.1531,0.6452,0.8049,1.0394
S0 raw,Noisy,kurt,279,0.5803,0.8594,1.0686,4.1091,11.378,13.8295,23.0531
S0 raw,Noisy,n_peaks,279,12.0,13.0,13.0,16.0,19.0,19.3,20.2
S0 raw,Noisy,mean_hr_bpm,279,67.019,71.063,74.6896,95.7447,122.7845,127.0303,136.985
S0 raw,Noisy,rr_cv,279,0.1857,0.2108,0.2235,0.2995,0.3871,0.4108,0.4411
S0 raw,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S0 raw,Noisy,sqi_score_ecg,279,0.571,0.5781,0.5891,0.6418,0.7141,0.7266,0.7631
S1 notch,AFib,dynamic_range_mv,500,763.3363,832.5265,900.9782,1244.8519,1677.7717,1859.3205,2030.458
S1 notch,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 notch,AFib,clip_pct,500,0.0,0.0,0.0,0.0,0.1333,0.2,0.2333
S1 notch,AFib,baseline_drift,500,7.2793,8.6366,9.592,17.0935,40.2129,49.2461,59.2934
S1 notch,AFib,hf_noise_ratio,500,0.0002,0.0002,0.0002,0.0006,0.0011,0.0013,0.0017
S1 notch,AFib,snr_proxy,500,0.287,0.4113,0.5237,1.226,2.0525,2.2586,2.6648
S1 notch,AFib,kurt,500,2.3578,3.1439,4.0098,8.4891,14.5323,15.7731,17.9391
S1 notch,AFib,n_peaks,500,11.0,11.0,12.0,14.5,19.0,20.0,21.0
S1 notch,AFib,mean_hr_bpm,500,64.3894,67.7778,70.3125,89.3084,118.4211,125.0009,134.3804
S1 notch,AFib,rr_cv,500,0.0998,0.1172,0.1336,0.1979,0.2723,0.2916,0.3267
S1 notch,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S1 notch,AFib,sqi_score_ecg,500,0.6367,0.6586,0.6825,0.7857,0.8642,0.8791,0.8944
S1 notch,Normal,dynamic_range_mv,500,691.3535,805.47,888.3839,1256.9238,1833.044,2009.7876,2309.5307
S1 notch,Normal,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 notch,Normal,clip_pct,500,0.0,0.0,0.0,0.0,0.2,0.2333,0.3
S1 notch,Normal,baseline_drift,500,7.8103,9.3308,10.7261,21.548,47.7028,57.661,78.6198
S1 notch,Normal,hf_noise_ratio,500,0.0002,0.0002,0.0003,0.0005,0.001,0.0012,0.0014
S1 notch,Normal,snr_proxy,500,0.1585,0.2336,0.3289,0.8394,1.5842,1.8025,2.1017
S1 notch,Normal,kurt,500,1.8462,2.371,2.937,7.7133,14.8165,16.2477,18.981
S1 notch,Normal,n_peaks,500,10.0,10.0,11.0,12.0,15.0,15.0,16.0
S1 notch,Normal,mean_hr_bpm,499,59.5247,61.5807,63.3803,72.5806,86.1244,89.1089,95.2381
S1 notch,Normal,rr_cv,499,0.0101,0.0131,0.0168,0.0464,0.2084,0.2377,0.3107
S1 notch,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S1 notch,Normal,sqi_score_ecg,500,0.6079,0.6251,0.6409,0.7404,0.8413,0.8518,0.8769
S1 notch,Noisy,dynamic_range_mv,279,838.5393,1098.7941,1359.7596,2979.036,5047.2371,5567.9942,6325.5466
S1 notch,Noisy,flat_pct,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 notch,Noisy,clip_pct,279,0.0,0.0,0.0,0.1,0.28,0.3333,0.44
S1 notch,Noisy,baseline_drift,279,22.7444,30.7917,34.7356,78.5949,149.8675,169.2432,204.605
S1 notch,Noisy,hf_noise_ratio,279,0.0001,0.0001,0.0001,0.0003,0.0018,0.0029,0.0045
S1 notch,Noisy,snr_proxy,279,0.0377,0.0495,0.0607,0.1531,0.6453,0.8049,1.0393
S1 notch,Noisy,kurt,279,0.5804,0.859,1.0681,4.1095,11.3813,13.8297,23.0381
S1 notch,Noisy,n_peaks,279,12.0,13.0,13.0,16.0,19.0,19.3,20.2
S1 notch,Noisy,mean_hr_bpm,279,67.019,71.063,74.6896,95.7447,122.7845,127.0303,136.985
S1 notch,Noisy,rr_cv,279,0.1857,0.2108,0.2235,0.2995,0.3871,0.4108,0.4411
S1 notch,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S1 notch,Noisy,sqi_score_ecg,279,0.571,0.5781,0.5891,0.6417,0.7141,0.7266,0.7631
S2 bandpass,AFib,dynamic_range_mv,500,773.0279,842.9851,897.343,1226.8075,1641.9619,1800.2236,1970.4261
S2 bandpass,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 bandpass,AFib,clip_pct,500,0.0,0.0,0.0,0.0,0.1333,0.1667,0.2
S2 bandpass,AFib,baseline_drift,500,2.3,2.6773,3.1803,6.0222,13.2796,16.6567,21.6245
S2 bandpass,AFib,hf_noise_ratio,500,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002
S2 bandpass,AFib,snr_proxy,500,0.3707,0.5244,0.6682,1.3567,2.1615,2.5246,2.9053
S2 bandpass,AFib,kurt,500,2.6029,3.4973,4.2989,8.7177,13.8517,15.7294,17.861
S2 bandpass,AFib,n_peaks,500,11.0,11.0,12.0,14.5,19.0,20.0,21.0
S2 bandpass,AFib,mean_hr_bpm,500,64.3894,67.7969,70.3125,89.3084,118.4211,125.0009,134.3804
S2 bandpass,AFib,rr_cv,500,0.0998,0.117,0.1338,0.1979,0.2723,0.2916,0.3267
S2 bandpass,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S2 bandpass,AFib,sqi_score_ecg,500,0.6473,0.6691,0.6952,0.7946,0.8736,0.8839,0.9069
S2 bandpass,Normal,dynamic_range_mv,500,654.3135,768.6547,846.8092,1226.9768,1756.9132,1919.4657,2217.7632
S2 bandpass,Normal,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 bandpass,Normal,clip_pct,500,0.0,0.0,0.0,0.0,0.2,0.2333,0.3
S2 bandpass,Normal,baseline_drift,500,2.6488,3.1841,3.6312,6.6734,15.5302,18.8755,24.8696
S2 bandpass,Normal,hf_noise_ratio,500,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0002
S2 bandpass,Normal,snr_proxy,500,0.2318,0.3447,0.4318,0.9849,1.69,1.9175,2.1809
S2 bandpass,Normal,kurt,500,2.0403,2.5627,3.196,8.4768,14.7882,16.3231,18.4507
S2 bandpass,Normal,n_peaks,500,10.0,10.0,11.0,12.0,15.0,15.0,16.0
S2 bandpass,Normal,mean_hr_bpm,499,59.5247,61.5807,63.3803,72.5806,86.1244,89.1089,95.2381
S2 bandpass,Normal,rr_cv,499,0.01,0.0131,0.0168,0.0467,0.2084,0.2377,0.3103
S2 bandpass,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S2 bandpass,Normal,sqi_score_ecg,500,0.6173,0.6356,0.6543,0.766,0.85,0.8666,0.8816
S2 bandpass,Noisy,dynamic_range_mv,279,740.274,991.0292,1209.8089,2654.9009,4667.0279,5029.696,5938.6027
S2 bandpass,Noisy,flat_pct,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 bandpass,Noisy,clip_pct,279,0.0,0.0,0.0,0.1,0.2333,0.2667,0.3067
S2 bandpass,Noisy,baseline_drift,279,5.4094,7.7049,9.0175,20.9069,36.4052,41.9076,46.9451
S2 bandpass,Noisy,hf_noise_ratio,279,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0004
S2 bandpass,Noisy,snr_proxy,279,0.0637,0.0759,0.0852,0.2151,0.7741,0.9694,1.2758
S2 bandpass,Noisy,kurt,279,0.7295,1.0017,1.2921,3.556,11.07,14.8204,22.4259
S2 bandpass,Noisy,n_peaks,279,12.0,13.0,13.0,16.0,19.0,19.3,20.0
S2 bandpass,Noisy,mean_hr_bpm,279,67.019,71.147,74.6896,96.2567,122.7845,127.0303,136.985
S2 bandpass,Noisy,rr_cv,279,0.1857,0.2114,0.2237,0.3,0.3871,0.4108,0.4411
S2 bandpass,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S2 bandpass,Noisy,sqi_score_ecg,279,0.5782,0.585,0.5911,0.6454,0.7209,0.735,0.7663
S3 baseline,AFib,dynamic_range_mv,500,761.3509,816.3338,868.0304,1181.8885,1572.9136,1687.0785,1818.3705
S3 baseline,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.1683,0.377
