stage,group,metric,p5,median,p95,n
S0 raw,AFib,dynamic_range_mv,668.75,1220.5,2613.449999999997,400
S0 raw,AFib,flat_pct,0.0,0.0,0.0,400
S0 raw,AFib,clip_pct,0.0,0.0,0.3349999999999985,400
S0 raw,AFib,baseline_drift,5.755332768355315,16.189120237822046,83.49335427579157,400
S0 raw,AFib,hf_noise_ratio,0.00011598293959014328,0.000587650519854554,0.0021523083201685036,400
S0 raw,AFib,snr_proxy,0.15717753395021736,1.277544782520728,3.253508552759538,400
S0 raw,AFib,kurt,1.7557260011171698,8.572377388001332,20.40312151109277,400
S0 raw,AFib,n_peaks,10.0,15.0,23.049999999999955,400
S0 raw,AFib,mean_hr_bpm,60.39258378038652,89.79622353532218,146.34146341463415,400
S0 raw,AFib,rr_cv,0.08094964374429052,0.19710774403316153,0.35397201258523864,400
S0 raw,AFib,pct_physiologic_hr,100.0,100.0,100.0,400
S0 raw,AFib,sqi_score_ecg,0.6055738361256386,0.790350112754383,0.9216778169837272,400
S0 raw,Normal,dynamic_range_mv,556.95,1256.5,3317.6999999999884,400
S0 raw,Normal,flat_pct,0.0,0.0,0.0,400
S0 raw,Normal,clip_pct,0.0,0.0,0.46666666666666673,400
S0 raw,Normal,baseline_drift,6.012504523496637,22.13164574697518,101.44066558257923,400
S0 raw,Normal,hf_noise_ratio,0.00011546196092839947,0.0005650001048975752,0.002047671923024084,400
S0 raw,Normal,snr_proxy,0.08642681544108266,0.8197465642889192,2.5747071657298934,400
S0 raw,Normal,kurt,1.144079211384674,7.848045337853505,23.2641263675666,400
S0 raw,Normal,n_peaks,10.0,12.0,17.0,400
S0 raw,Normal,mean_hr_bpm,56.41751567398119,71.42857142857143,104.40785734500606,400
S0 raw,Normal,rr_cv,0.007477096451570012,0.049257926591386746,0.3821339417230284,400
S0 raw,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S0 raw,Normal,sqi_score_ecg,0.5900435743706581,0.7393618946815175,0.8996576682064582,400
S0 raw,Noisy,dynamic_range_mv,710.9,2978.0,7193.4,279
S0 raw,Noisy,flat_pct,0.0,0.0,0.0,279
S0 raw,Noisy,clip_pct,0.0,0.1,0.6033333333333322,279
S0 raw,Noisy,baseline_drift,16.59864877815413,78.59541039853514,235.97868728848576,279
S0 raw,Noisy,hf_noise_ratio,4.1651868435052025e-05,0.0003172380063767761,0.01137284073602337,279
S0 raw,Noisy,snr_proxy,0.022086562267953597,0.1530835617418446,1.5575926446504242,279
S0 raw,Noisy,kurt,0.22271275094249904,4.109069867227922,35.96976448879853,279
S0 raw,Noisy,n_peaks,10.9,16.0,21.0,279
S0 raw,Noisy,mean_hr_bpm,61.11161097465835,95.74468085106382,144.6387096774193,279
S0 raw,Noisy,rr_cv,0.14166020778901278,0.29951187288360365,0.4980900292688246,279
S0 raw,Noisy,pct_physiologic_hr,92.3076923076923,100.0,100.0,279
S0 raw,Noisy,sqi_score_ecg,0.5663197161208001,0.6417605779171677,0.7974577918162582,279
S1 notch,AFib,dynamic_range_mv,668.9184127555536,1220.6966086653174,2612.400593050581,400
S1 notch,AFib,flat_pct,0.0,0.0,0.0,400
S1 notch,AFib,clip_pct,0.0,0.0,0.3349999999999985,400
S1 notch,AFib,baseline_drift,5.755561108486325,16.177510585320775,83.49571858331278,400
S1 notch,AFib,hf_noise_ratio,0.00011087240566756663,0.0005743481536495338,0.0021182551356392905,400
S1 notch,AFib,snr_proxy,0.15715803776194326,1.2774832528989597,3.253639697799022,400
S1 notch,AFib,kurt,1.7549578882845045,8.573224730026997,20.40307807108576,400
S1 notch,AFib,n_peaks,10.0,15.0,23.049999999999955,400
S1 notch,AFib,mean_hr_bpm,60.39258378038652,89.79622353532218,146.34146341463415,400
S1 notch,AFib,rr_cv,0.08094964374429052,0.19710774403316153,0.35397201258523864,400
S1 notch,AFib,pct_physiologic_hr,100.0,100.0,100.0,400
S1 notch,AFib,sqi_score_ecg,0.6055802608181892,0.7903406741665425,0.9216659934849737,400
S1 notch,Normal,dynamic_range_mv,556.9374264739255,1256.9238245346091,3315.340159815501,400
S1 notch,Normal,flat_pct,0.0,0.0,0.0,400
S1 notch,Normal,clip_pct,0.0,0.0,0.46666666666666673,400
S1 notch,Normal,baseline_drift,6.011291588916725,22.117658372865833,101.4360022981611,400
S1 notch,Normal,hf_noise_ratio,0.00011188271564342063,0.0005462930436975006,0.001985876728824358,400
S1 notch,Normal,snr_proxy,0.08641781414989319,0.8197092561491917,2.5749160757330967,400
S1 notch,Normal,kurt,1.1443115677957472,7.852773591487865,23.26794045181133,400
S1 notch,Normal,n_peaks,10.0,12.0,17.0,400
S1 notch,Normal,mean_hr_bpm,56.41751567398119,71.42857142857143,104.40785734500606,400
S1 notch,Normal,rr_cv,0.007477096451570012,0.049257926591386746,0.3821339417230284,400
S1 notch,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S1 notch,Normal,sqi_score_ecg,0.5900472261268974,0.7394083077931468,0.8996506923122324,400
S1 notch,Noisy,dynamic_range_mv,711.2381189263027,2979.0359807667037,7191.5946764954715,279
S1 notch,Noisy,flat_pct,0.0,0.0,0.0,279
S1 notch,Noisy,clip_pct,0.0,0.1,0.6033333333333322,279
S1 notch,Noisy,baseline_drift,16.57725323648147,78.59488345877412,235.98443091605478,279
S1 notch,Noisy,hf_noise_ratio,3.950433690931591e-05,0.00030887221619970123,0.011024744096196094,279
S1 notch,Noisy,snr_proxy,0.022084686377531363,0.15307134994623303,1.5581883693350354,279
S1 notch,Noisy,kurt,0.22271312126446716,4.1094607368377325,35.96835341435163,279
S1 notch,Noisy,n_peaks,10.9,16.0,21.0,279
S1 notch,Noisy,mean_hr_bpm,61.11161097465835,95.74468085106382,144.6387096774193,279
S1 notch,Noisy,rr_cv,0.14166020778901278,0.29951187288360365,0.4980900292688246,279
S1 notch,Noisy,pct_physiologic_hr,92.3076923076923,100.0,100.0,279
S1 notch,Noisy,sqi_score_ecg,0.5663186052980236,0.6417081607829337,0.7975183653461169,279
S2 bandpass,AFib,dynamic_range_mv,689.9863779878364,1206.6459754865587,2401.7838353217758,400
S2 bandpass,AFib,flat_pct,0.0,0.0,0.0,400
S2 bandpass,AFib,clip_pct,0.0,0.0,0.26666666666666666,400
S2 bandpass,AFib,baseline_drift,1.8969495599582853,5.645569191686496,30.8050853720796,400
S2 bandpass,AFib,hf_noise_ratio,9.902128969399392e-06,6.009666606853957e-05,0.0002456813084071408,400
S2 bandpass,AFib,snr_proxy,0.23507391338540215,1.4110315434406289,3.4260128561681094,400
S2 bandpass,AFib,kurt,1.6288130480269591,8.717655971005858,19.385084001945344,400
S2 bandpass,AFib,n_peaks,10.0,15.0,23.049999999999955,400
S2 bandpass,AFib,mean_hr_bpm,60.39258378038652,89.79622353532218,146.34146341463415,400
S2 bandpass,AFib,rr_cv,0.08094964374429052,0.19706089514671746,0.3541468558628451,400
S2 bandpass,AFib,pct_physiologic_hr,100.0,100.0,100.0,400
S2 bandpass,AFib,sqi_score_ecg,0.6198421925187604,0.798878940113593,0.9322874656900723,400
S2 bandpass,Normal,dynamic_range_mv,533.4135307079592,1226.976834728068,3038.290294976585,400
S2 bandpass,Normal,flat_pct,0.0,0.0,0.0,400
S2 bandpass,Normal,clip_pct,0.0,0.0,0.4333333333333333,400
S2 bandpass,Normal,baseline_drift,1.9951398364482098,6.788810440490288,31.49425147388533,400
S2 bandpass,Normal,hf_noise_ratio,1.0046059596869284e-05,5.791739914191136e-05,0.00021488101026562666,400
S2 bandpass,Normal,snr_proxy,0.14037994249070715,0.9416701896189367,2.689479041798338,400
S2 bandpass,Normal,kurt,1.2285526002355824,8.552928784139434,22.180363335171894,400
S2 bandpass,Normal,n_peaks,10.0,12.0,17.0,400
S2 bandpass,Normal,mean_hr_bpm,56.41751567398119,71.42857142857143,104.40785734500606,400
S2 bandpass,Normal,rr_cv,0.00747687269091119,0.049861435122260406,0.3821339417230284,400
S2 bandpass,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S2 bandpass,Normal,sqi_score_ecg,0.5979948439148146,0.7655897263961008,0.9080416053137512,400
S2 bandpass,Noisy,dynamic_range_mv,635.1302908893977,2654.9008964895247,6978.624129132521,279
S2 bandpass,Noisy,flat_pct,0.0,0.0,0.0,279
S2 bandpass,Noisy,clip_pct,0.0,0.1,0.4333333333333333,279
S2 bandpass,Noisy,baseline_drift,4.094715457717441,20.906857645615545,57.00206034413038,279
S2 bandpass,Noisy,hf_noise_ratio,3.839237390982368e-06,3.323948658718124e-05,0.0007500146519658566,279
S2 bandpass,Noisy,snr_proxy,0.03952825040097005,0.21509744313335974,1.7656040473236798,279
S2 bandpass,Noisy,kurt,0.20823025142961102,3.556012066275242,31.090906247053944,279
S2 bandpass,Noisy,n_peaks,10.9,16.0,21.099999999999966,279
S2 bandpass,Noisy,mean_hr_bpm,61.11161097465835,96.25668449197862,144.6387096774193,279
S2 bandpass,Noisy,rr_cv,0.14166020778901278,0.3000307347466562,0.4980900292688246,279
S2 bandpass,Noisy,pct_physiologic_hr,92.3076923076923,100.0,100.0,279
S2 bandpass,Noisy,sqi_score_ecg,0.5696517439963795,0.6454333313614994,0.8208872856290186,279
S3 baseline,AFib,dynamic_range_mv,656.7594795405132,1170.6871551387972,2036.4524269635397,400
S3 baseline,AFib,flat_pct,0.0,0.0,0.9811511275664714,400
S3 baseline,AFib,clip_pct,0.0,0.0,0.23333333333333336,400
S3 baseline,AFib,baseline_drift,3.782871028663755,9.052875957082945,33.96643996238435,400
S3 baseline,AFib,hf_noise_ratio,2.9694885795735492e-05,0.00010611883859359364,0.000410575381643588,400
S3 baseline,AFib,snr_proxy,0.5350665919277581,1.8391975335762765,3.699406529758869,400
S3 baseline,AFib,kurt,3.2355304549696635,11.49471488728088,23.480706667464766,400
S3 baseline,AFib,n_peaks,10.0,14.0,23.0,400
S3 baseline,AFib,mean_hr_bpm,60.19063545150502,89.3083638184401,146.34146341463415,400
S3 baseline,AFib,rr_cv,0.08034356038863211,0.19452809698659929,0.34975771391798305,400
