true,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,9:PREMATURE VENTRICULAR COMPLEXES,16:PREMATURE ATRIAL COMPLEXES,19:PREMATURE SUPRAVENTRICULAR COMPLEXES,68:ST ELEVATION NOW PRESENT IN,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,NONE
Atrial Fibrillation,500,9,475,11,1,2,0,0,0,0,0,2
Bradycardia,500,463,27,0,2,0,0,0,0,0,0,8
ST Elevation,1,0,0,0,0,0,0,0,0,0,0,1
Isolated Ventricular Beat,500,8,38,24,353,60,0,0,0,0,0,17
Ventricular Couplet,36,0,15,4,17,0,0,0,0,0,0,0
Ventricular Run,500,3,338,1,158,0,0,0,0,0,0,0
Isolated Supraventricular Beat,500,52,90,6,85,207,3,0,0,0,0,57
Supraventricular Couplet,500,49,321,3,51,74,0,0,0,0,0,2
Supraventricular Bigeminy,64,1,25,0,2,35,0,0,0,0,0,1
Supraventricular Trigeminy,76,0,4,2,2,68,0,0,0,0,0,0
Supraventricular Run,26,3,14,2,2,2,0,0,0,0,0,3
Pause,82,55,10,3,4,3,0,0,0,0,0,7
