event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,9:PREMATURE VENTRICULAR COMPLEXES,16:PREMATURE ATRIAL COMPLEXES,19:PREMATURE SUPRAVENTRICULAR COMPLEXES,68:ST ELEVATION NOW PRESENT IN,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,1.2,72.0,53.0,29.2,20.2,9.6,0.0,0.8,0.6,0.0,5.4
Sinus Tachycardia,500,0.0,23.6,99.0,1.6,0.0,0.0,0.0,1.4,5.6,0.0,0.0
Bradycardia,500,3.2,67.8,41.6,30.2,2.4,0.2,0.0,0.0,0.0,0.0,17.8
Isolated Ventricular Beat,500,3.4,66.2,16.8,25.4,10.6,3.6,0.0,0.0,0.0,0.0,17.4
Ventricular Couplet,500,2.4,72.4,32.6,19.6,13.0,5.6,0.0,0.0,0.2,0.0,11.4
Ventricular Run,500,2.4,67.4,34.0,23.2,7.8,2.2,0.0,0.0,0.0,0.0,13.4
Isolated Supraventricular Beat,500,11.2,85.6,11.4,8.6,30.6,10.2,0.0,0.0,0.0,0.0,1.8
Supraventricular Couplet,500,9.2,75.8,53.8,10.2,10.0,2.2,0.0,0.0,0.0,0.0,8.6
Supraventricular Bigeminy,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Supraventricular Trigeminy,500,0.2,32.6,2.4,69.6,67.4,2.0,0.0,0.0,0.0,0.0,1.0
Supraventricular Run,500,11.8,53.2,40.2,19.4,2.6,0.6,0.0,0.0,0.0,0.0,23.4
Pause,500,14.2,60.8,52.6,25.4,0.2,0.2,0.0,0.0,0.0,0.0,17.6
