event,head,n_pos,n_neg,TP,FP,FN,TN,sens,spec,ppv,npv,accuracy,f1,roc_auc,pr_auc
Atrial Fibrillation,5,500,500,489,360,11,140,0.978,0.28,0.576,0.927,0.629,0.725,0.89,0.878
Sinus Tachycardia,6,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Bradycardia,4,500,500,472,16,28,484,0.944,0.968,0.967,0.945,0.956,0.955,0.974,0.976
ST Elevation,68,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Isolated Ventricular Beat,9,500,500,393,127,107,373,0.786,0.746,0.756,0.777,0.766,0.771,0.856,0.848
Ventricular Couplet,9,36,500,29,98,7,402,0.806,0.804,0.228,0.983,0.804,0.356,0.87,0.316
Ventricular Run,98,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.36,0.392
Isolated Supraventricular Beat,16,500,500,268,153,232,347,0.536,0.694,0.637,0.599,0.615,0.582,0.633,0.643
Supraventricular Couplet,19,500,500,22,11,478,489,0.044,0.978,0.667,0.506,0.511,0.083,0.372,0.458
Supraventricular Bigeminy,16,64,1,50,1,14,0,0.781,0.0,0.98,0.0,0.769,0.87,0.719,0.995
Supraventricular Trigeminy,16,76,500,73,337,3,163,0.961,0.326,0.178,0.982,0.41,0.3,0.756,0.314
Supraventricular Run,93,26,500,0,0,26,500,0.0,1.0,0.0,0.951,0.951,0.0,0.606,0.063
Pause,142,82,500,0,0,82,500,0.0,1.0,0.0,0.859,0.859,0.0,0.758,0.335
OVERALL (micro),-1,3284,5001,1796,1103,1488,3898,0.547,0.779,0.62,0.724,0.687,0.581,0.7,0.694
