event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,9:PREMATURE VENTRICULAR COMPLEXES,16:PREMATURE ATRIAL COMPLEXES,19:PREMATURE SUPRAVENTRICULAR COMPLEXES,68:ST ELEVATION NOW PRESENT IN,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,7.0,97.8,34.4,4.0,1.2,0.2,0.0,0.0,0.0,0.0,0.4
Bradycardia,500,94.4,14.2,0.0,14.2,1.2,0.4,0.0,0.0,0.0,0.0,1.6
ST Elevation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Isolated Ventricular Beat,500,3.2,8.4,8.2,78.6,13.6,7.0,0.0,0.0,0.0,0.0,3.4
Ventricular Couplet,36,5.6,41.7,16.7,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventricular Run,500,10.8,99.2,2.2,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isolated Supraventricular Beat,500,15.0,23.0,3.0,22.2,53.6,13.0,0.0,0.0,0.0,0.0,11.4
Supraventricular Couplet,500,24.2,83.2,13.4,24.6,34.6,4.4,0.0,0.0,0.0,0.0,0.4
Supraventricular Bigeminy,64,9.4,64.1,1.6,4.7,78.1,6.2,0.0,0.0,0.0,0.0,1.6
Supraventricular Trigeminy,76,0.0,5.3,14.5,3.9,96.1,23.7,0.0,0.0,0.0,0.0,0.0
Supraventricular Run,26,11.5,65.4,23.1,15.4,19.2,11.5,0.0,0.0,0.0,0.0,11.5
Pause,82,72.0,34.1,8.5,26.8,17.1,8.5,0.0,0.0,0.0,0.0,8.5
