event,n,own_head,own_fire_pct,top_cofiring
Atrial Fibrillation,500,5:ATRIAL FIBRILLATION,97.8,head_0(100.0%) | ATRIAL FIBRILLATION(97.8%) | SINUS RHYTHM(97.0%) | head_39(95.0%) | head_28(49.2%) | RIGHT BUNDLE BRANCH BLOCK(48.0%)
Bradycardia,500,4:SINUS BRADYCARDIA,94.4,head_0(100.0%) | SINUS RHYTHM(99.0%) | SINUS BRADYCARDIA(94.4%) | head_33(82.6%) | RIGHT BUNDLE BRANCH BLOCK(65.0%) | LATERAL INFARCT(51.0%)
ST Elevation,1,68:ST ELEVATION NOW PRESENT IN,0.0,head_0(100.0%) | head_18(100.0%) | RIGHT BUNDLE BRANCH BLOCK(100.0%) | head_10(100.0%) | head_1(100.0%) | SINUS RHYTHM(100.0%)
Isolated Ventricular Beat,500,9:PREMATURE VENTRICULAR COMPLEXES,78.6,head_0(100.0%) | SINUS RHYTHM(98.6%) | head_1(92.4%) | PREMATURE VENTRICULAR COMPLEXES(78.6%) | head_90(75.4%) | RIGHT BUNDLE BRANCH BLOCK(64.4%)
Ventricular Couplet,36,9:PREMATURE VENTRICULAR COMPLEXES,80.6,head_0(100.0%) | SINUS RHYTHM(88.9%) | PREMATURE VENTRICULAR COMPLEXES(80.6%) | RIGHT BUNDLE BRANCH BLOCK(77.8%) | head_90(75.0%) | head_8(69.4%)
Ventricular Run,500,98:VENTRICULAR TACHYCARDIA,0.0,head_0(100.0%) | ATRIAL FIBRILLATION(99.2%) | head_39(98.8%) | SINUS RHYTHM(96.4%) | PREMATURE VENTRICULAR COMPLEXES(88.6%) | RIGHT BUNDLE BRANCH BLOCK(87.4%)
Isolated Supraventricular Beat,500,16:PREMATURE ATRIAL COMPLEXES,53.6,head_0(100.0%) | SINUS RHYTHM(99.8%) | head_1(90.6%) | RIGHT BUNDLE BRANCH BLOCK(57.2%) | PREMATURE ATRIAL COMPLEXES(53.6%) | head_8(42.2%)
Supraventricular Couplet,500,19:PREMATURE SUPRAVENTRICULAR COMPLEXES,4.4,head_0(100.0%) | SINUS RHYTHM(100.0%) | ATRIAL FIBRILLATION(83.2%) | head_1(78.2%) | head_39(65.4%) | SEPTAL INFARCT(58.6%)
Supraventricular Bigeminy,64,16:PREMATURE ATRIAL COMPLEXES,78.1,head_0(100.0%) | SINUS RHYTHM(100.0%) | head_1(98.4%) | LEFT VENTRICULAR HYPERTROPHY(81.2%) | PREMATURE ATRIAL COMPLEXES(78.1%) | ATRIAL FIBRILLATION(64.1%)
Supraventricular Trigeminy,76,16:PREMATURE ATRIAL COMPLEXES,96.1,head_0(100.0%) | head_1(100.0%) | SINUS RHYTHM(100.0%) | LATERAL INFARCT(98.7%) | PREMATURE ATRIAL COMPLEXES(96.1%) | head_8(48.7%)
Supraventricular Run,26,93:SUPRAVENTRICULAR TACHYCARDIA,0.0,head_0(100.0%) | SINUS RHYTHM(100.0%) | head_1(80.8%) | head_39(69.2%) | RIGHT BUNDLE BRANCH BLOCK(65.4%) | ATRIAL FIBRILLATION(65.4%)
Pause,82,142:WITH SINUS PAUSE,0.0,head_0(100.0%) | SINUS RHYTHM(100.0%) | RIGHT BUNDLE BRANCH BLOCK(85.4%) | SINUS BRADYCARDIA(72.0%) | head_37(68.3%) | head_1(61.0%)
