idx,head_name,in_scope,challenge2017,cinc2015,ecg_tp_fzark,ecg_fp_fzark,mimic,mitdb,move,ptbxl_active
0,ABNORMAL ECG,,,,,,,,,
1,NORMAL SINUS RHYTHM,,,,,,,default-normal,,
2,NORMAL ECG,,N (normal),,Normal ECG,Normal ECG,,default-normal,,yes
3,SINUS RHYTHM,,,,,,,,,yes
4,SINUS BRADYCARDIA,yes,,alarm:bradycardia,Bradycardia,Bradycardia,sinus bradycardia; marked sinus bradycardia; bradycardia,rhythm:(SBR,,yes
5,ATRIAL FIBRILLATION,yes,A (atrial fibrillation),,Atrial Fibrillation,Atrial Fibrillation,atrial fibrillation; atrial fib; afib; a-fib,rhythm:(AFIB,,yes
6,SINUS TACHYCARDIA,yes,,alarm:tachycardia,Sinus Tachycardia,Sinus Tachycardia,sinus tachycardia; sinus tach,,,yes
7,otherwise normal ecg,,,,,,,,,
8,LEFT AXIS DEVIATION,,,,,,,,,
9,PREMATURE VENTRICULAR COMPLEXES,,,,Isolated Ventricular Beat; Ventricular Couplet,Isolated Ventricular Beat; Ventricular Couplet,premature ventricular complex; premature ventricular contraction; ventricular ectopic; ventricular premature; pvc; ventricular bigeminy; ventricular trigeminy; ventricular couplet,beat:V,,yes
10,BORDERLINE ECG,,,,,,,,,
11,RIGHT BUNDLE BRANCH BLOCK,,,,,,,beat:R,,yes
12,SEPTAL INFARCT,,,,,,,,,yes
13,LEFT ATRIAL ENLARGEMENT,,,,,,,,,yes
14,NONSPECIFIC T WAVE ABNORMALITY,,,,,,,,,
15,LOW VOLTAGE QRS,,,,,,,,,yes
16,PREMATURE ATRIAL COMPLEXES,,,,Isolated Supraventricular Beat; Supraventricular Bigeminy; Supraventricular Trigeminy,Isolated Supraventricular Beat; Supraventricular Bigeminy; Supraventricular Trigeminy,premature atrial complex; premature atrial contraction; atrial premature; atrial ectopic; atrial bigeminy; atrial trigeminy; pac,beat:A; beat:a,,
17,ANTERIOR INFARCT,,,,,,,,,yes
18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,,,,,,,,,
19,PREMATURE SUPRAVENTRICULAR COMPLEXES,,,,Supraventricular Couplet,Supraventricular Couplet,premature supraventricular complex; supraventricular premature; supraventricular ectopic; supraventricular couplet; psvc,beat:S; beat:j,,
20,LEFT BUNDLE BRANCH BLOCK,,,,,,,beat:L,,yes
21,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,,,,,,,,,
22,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,,,,,,,,,
23,T WAVE INVERSION NOW EVIDENT IN,,,,,,,,,
24,LATERAL INFARCT,,,,,,,,,yes
25,NONSPECIFIC ST ABNORMALITY,,,,,,,,,
26,LEFT VENTRICULAR HYPERTROPHY,,,,,,,,,yes
27,T WAVE INVERSION NO LONGER EVIDENT IN,,,,,,,,,
28,WITH RAPID VENTRICULAR RESPONSE,,,,,,,,,
29,QT HAS SHORTENED,,,,,,,,,
30,QT HAS LENGTHENED,,,,,,,,,yes
31,FUSION COMPLEXES,,,,,,,,,
32,ATRIAL FLUTTER,,,,,,,rhythm:(AFL,,yes
33,MARKED SINUS BRADYCARDIA,,,,,,,,,
34,WITH SINUS ARRHYTHMIA,,,,,,,,,
35,NONSPECIFIC ST AND T WAVE ABNORMALITY,,,,,,,,,
36,LEFT ANTERIOR FASCICULAR BLOCK,,,,,,,,,yes
37,RIGHT AXIS DEVIATION,,,,,,,,,
38,ECTOPIC ATRIAL RHYTHM,,,,,,,,,
39,UNDETERMINED RHYTHM,,,,,,,,,
40,ANTEROSEPTAL INFARCT,,,,,,,,,yes
41,RIGHTWARD AXIS,,,,,,,,,
42,ST NOW DEPRESSED IN,,,,,,,,,
43,WITH SHORT PR,,,,,,,,,
44,WITH MARKED SINUS ARRHYTHMIA,,,,,,,,,
45,ST NO LONGER DEPRESSED IN,,,,,,,,,
46,INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,,,,,,,,,
47,NON-SPECIFIC CHANGE IN ST SEGMENT IN,,,,,,,,,
48,NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,,,,,,,,,
49,JUNCTIONAL RHYTHM,,,,,,,,,
50,ELECTRONIC ATRIAL PACEMAKER,,,,,,,,,yes
51,ABERRANT CONDUCTION,,,,,,,,,
52,ELECTRONIC VENTRICULAR PACEMAKER,,,,,,,,,
53,T WAVE INVERSION LESS EVIDENT IN,,,,,,,,,
54,ANTEROLATERAL INFARCT,,,,,,,,,yes
55,WITH REPOLARIZATION ABNORMALITY,,,,,,,,,
56,RSR' OR QR PATTERN IN V1 SUGGESTS RIGHT VENTRICULAR CONDUCTION DELAY,,,,,,,,,
57,T WAVE INVERSION MORE EVIDENT IN,,,,,,,,,
58,WIDE QRS RHYTHM,,,,,,,,,
59,WITH PREMATURE VENTRICULAR OR ABERRANTLY CONDUCTED COMPLEXES,,,,,,,,,
60,RIGHT ATRIAL ENLARGEMENT,,,,,,,,,yes
61,INFERIOR INFARCT,,,,,,,,,yes
62,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,,,,,,,,,
63,VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,,,,,,,,,
64,OR DIGITALIS EFFECT,,,,,,,,,
65,BIFASCICULAR BLOCK,,,,,,,,,
66,ST NO LONGER ELEVATED IN,,,,,,,,,
67,WITH SLOW VENTRICULAR RESPONSE,,,,,,,,,
68,ST ELEVATION NOW PRESENT IN,,,,ST Elevation,ST Elevation,,,,
69,PREMATURE ECTOPIC COMPLEXES,,,,,,,,,
70,LEFT POSTERIOR FASCICULAR BLOCK,,,,,,,,,yes
