event_type,head_idx,mode,n_pos,n_neg,TP,FP,FN,TN,sensitivity,specificity,ppv,npv,accuracy,f1,roc_auc,pr_auc
Atrial Fibrillation,5,OFF,500,500,489,360,11,140,0.978,0.28,0.5759717314487632,0.9271523178807947,0.629,0.7249814677538917,0.8898080000000002,0.8779852413593707
Atrial Fibrillation,5,ON,500,500,487,0,13,500,0.974,1.0,1.0,0.9746588693957114,0.987,0.9868287740628167,0.995028,0.9958950194595166
Bradycardia,4,OFF,500,500,472,16,28,484,0.944,0.968,0.9672131147540983,0.9453125,0.956,0.9554655870445344,0.973528,0.9762904185957071
Bradycardia,4,ON,500,500,459,9,41,491,0.918,0.982,0.9807692307692307,0.9229323308270677,0.95,0.9483471074380165,0.951794,0.9699210747411676
Pause,142,OFF,82,500,60,174,22,326,0.7317073170731707,0.652,0.2564102564102564,0.9367816091954023,0.6632302405498282,0.379746835443038,0.757609756097561,0.3345667955886773
Pause,142,ON,82,500,60,174,22,326,0.7317073170731707,0.652,0.2564102564102564,0.9367816091954023,0.6632302405498282,0.379746835443038,0.757609756097561,0.3345667955886773
Sinus Tachycardia,6,OFF,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Sinus Tachycardia,6,ON,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Supraventricular Run,93,OFF,26,500,21,265,5,235,0.8076923076923077,0.47,0.07342657342657342,0.9791666666666666,0.4866920152091255,0.1346153846153846,0.6062307692307692,0.06252836679798922
Supraventricular Run,93,ON,26,500,21,265,5,235,0.8076923076923077,0.47,0.07342657342657342,0.9791666666666666,0.4866920152091255,0.1346153846153846,0.6062307692307692,0.06252836679798922
Ventricular Run,98,OFF,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.35964399999999996,0.39236794542417297
Ventricular Run,98,ON,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.35964399999999996,0.39236794542417297
OVERALL (micro-pooled),-1,OFF,1608,2500,1042,815,566,1685,0.6480099502487562,0.674,0.5611200861604739,0.7485561972456686,0.6638266796494645,0.6014430014430014,0.7684154228855722,0.7666470129211792
OVERALL (micro-pooled),-1,ON,1608,2500,1027,448,581,2052,0.638681592039801,0.8208,0.696271186440678,0.7793391568552981,0.7495131450827653,0.6662341874797275,0.7684154228855722,0.7666470129211792
