event_type,head_idx,mode,n_pos,n_neg,TP,FP,FN,TN,sensitivity,specificity,ppv,npv,accuracy,f1,roc_auc,pr_auc
Atrial Fibrillation,5,OFF,500,500,489,360,11,140,0.978,0.28,0.5759717314487632,0.9271523178807947,0.629,0.7249814677538917,0.8898080000000002,0.8779852413593707
Atrial Fibrillation,5,ON,500,500,487,0,13,500,0.974,1.0,1.0,0.9746588693957114,0.987,0.9868287740628167,0.995028,0.9958950194595166
Bradycardia,4,OFF,500,500,472,16,28,484,0.944,0.968,0.9672131147540983,0.9453125,0.956,0.9554655870445344,0.973528,0.9762904185957071
Bradycardia,4,ON,500,500,459,9,41,491,0.918,0.982,0.9807692307692307,0.9229323308270677,0.95,0.9483471074380165,0.951794,0.9699210747411676
Isolated Supraventricular Beat,16,OFF,500,500,268,153,232,347,0.536,0.694,0.6365795724465558,0.5993091537132987,0.615,0.5819761129207384,0.632776,0.642668550955263
Isolated Supraventricular Beat,16,ON,500,500,268,153,232,347,0.536,0.694,0.6365795724465558,0.5993091537132987,0.615,0.5819761129207384,0.632776,0.642668550955263
Isolated Ventricular Beat,9,OFF,500,500,393,127,107,373,0.786,0.746,0.7557692307692307,0.7770833333333333,0.766,0.7705882352941177,0.856468,0.8483898494009836
Isolated Ventricular Beat,9,ON,500,500,393,127,107,373,0.786,0.746,0.7557692307692307,0.7770833333333333,0.766,0.7705882352941177,0.856468,0.8483898494009836
Pause,142,OFF,82,500,0,0,82,500,0.0,1.0,0.0,0.8591065292096219,0.8591065292096219,0.0,0.757609756097561,0.3345667955886773
Pause,142,ON,82,500,0,0,82,500,0.0,1.0,0.0,0.8591065292096219,0.8591065292096219,0.0,0.757609756097561,0.3345667955886773
ST Elevation,68,OFF,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ST Elevation,68,ON,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Sinus Tachycardia,6,OFF,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Sinus Tachycardia,6,ON,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Supraventricular Bigeminy,16,OFF,64,1,50,1,14,0,0.78125,0.0,0.9803921568627451,0.0,0.7692307692307693,0.8695652173913043,0.71875,0.9949795050412562
Supraventricular Bigeminy,16,ON,64,1,50,1,14,0,0.78125,0.0,0.9803921568627451,0.0,0.7692307692307693,0.8695652173913043,0.71875,0.9949795050412562
Supraventricular Couplet,19,OFF,500,500,22,11,478,489,0.044,0.978,0.6666666666666666,0.5056876938986556,0.511,0.0825515947467167,0.372088,0.4578730616178931
Supraventricular Couplet,19,ON,500,500,22,11,478,489,0.044,0.978,0.6666666666666666,0.5056876938986556,0.511,0.0825515947467167,0.372088,0.4578730616178931
Supraventricular Run,93,OFF,26,500,0,0,26,500,0.0,1.0,0.0,0.9505703422053232,0.9505703422053232,0.0,0.6062307692307692,0.06252836679798922
Supraventricular Run,93,ON,26,500,0,0,26,500,0.0,1.0,0.0,0.9505703422053232,0.9505703422053232,0.0,0.6062307692307692,0.06252836679798922
Supraventricular Trigeminy,16,OFF,76,500,73,337,3,163,0.9605263157894737,0.326,0.17804878048780487,0.9819277108433735,0.4097222222222222,0.3004115226337449,0.7555526315789474,0.3142306572641096
Supraventricular Trigeminy,16,ON,76,500,65,4,11,496,0.8552631578947368,0.992,0.9420289855072463,0.9783037475345168,0.9739583333333334,0.896551724137931,0.9233684210526316,0.8865477795600823
Ventricular Couplet,9,OFF,36,500,29,98,7,402,0.8055555555555556,0.804,0.2283464566929134,0.9828850855745721,0.8041044776119403,0.3558282208588957,0.8695555555555555,0.3162614558516109
Ventricular Couplet,9,ON,36,500,29,98,7,402,0.8055555555555556,0.804,0.2283464566929134,0.9828850855745721,0.8041044776119403,0.3558282208588957,0.8695555555555555,0.3162614558516109
Ventricular Run,98,OFF,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.35964399999999996,0.39236794542417297
Ventricular Run,98,ON,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.35964399999999996,0.39236794542417297
OVERALL (micro-pooled),-1,OFF,3284,5001,1796,1103,1488,3898,0.5468940316686967,0.7794441111777645,0.6195239737840634,0.7237281841812105,0.6872661436330718,0.5809477599870613,0.6998695875928347,0.6941675099552241
OVERALL (micro-pooled),-1,ON,3284,5001,1773,403,1511,4598,0.5398903775883069,0.9194161167766447,0.8147977941176471,0.7526600098215748,0.7689800844900423,0.6494505494505495,0.7723804203836456,0.7620831539996964
