event_type,n,in_label_map,class_idx,suppressor_target,bs_0.5_raw_alerts,bs_0.5_raw_rate_pct,bs_0.5_post_alerts,bs_0.5_post_rate_pct,bs_0.5_supp_gain_pct,bs_0.6_raw_alerts,bs_0.6_raw_rate_pct,bs_0.6_post_alerts,bs_0.6_post_rate_pct,bs_0.6_supp_gain_pct,bs_0.7_raw_alerts,bs_0.7_raw_rate_pct,bs_0.7_post_alerts,bs_0.7_post_rate_pct,bs_0.7_supp_gain_pct
Atrial Fibrillation,500,True,5,Atrial Fibrillation,360,72.0,0,0.0,100.0,309,61.8,0,0.0,100.0,246,49.2,0,0.0,100.0
Bradycardia,500,True,4,Bradycardia,16,3.2,9,1.8,43.75,13,2.6,7,1.4,46.15384615384615,11,2.2,6,1.2,45.45454545454545
Isolated Supraventricular Beat,500,True,16,none,153,30.6,153,30.6,0.0,105,21.0,105,21.0,0.0,68,13.6,68,13.6,0.0
Isolated Ventricular Beat,500,True,9,none,127,25.4,127,25.4,0.0,93,18.6,93,18.6,0.0,62,12.4,62,12.4,0.0
Pause,500,True,142,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Sinus Tachycardia,500,True,6,none,495,99.0,495,99.0,0.0,493,98.6,493,98.6,0.0,491,98.2,491,98.2,0.0
Supraventricular Bigeminy,1,True,16,none,1,100.0,1,100.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Couplet,500,True,19,none,11,2.2,11,2.2,0.0,5,1.0,5,1.0,0.0,2,0.4,2,0.4,0.0
Supraventricular Run,500,True,93,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Trigeminy,500,True,16,Supraventricular Trigeminy,337,67.4,4,0.8,98.81305637982196,274,54.8,2,0.4,99.27007299270072,203,40.6,0,0.0,100.0
Ventricular Couplet,500,True,9,none,98,19.6,98,19.6,0.0,76,15.2,76,15.2,0.0,53,10.6,53,10.6,0.0
Ventricular Run,500,True,98,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
