event_type,n,in_label_map,class_idx,suppressor_target,bs_0.5_detected,bs_0.5_detect_pct,bs_0.5_retained,bs_0.5_retain_pct,bs_0.5_supp_loss_pct,bs_0.6_detected,bs_0.6_detect_pct,bs_0.6_retained,bs_0.6_retain_pct,bs_0.6_supp_loss_pct,bs_0.7_detected,bs_0.7_detect_pct,bs_0.7_retained,bs_0.7_retain_pct,bs_0.7_supp_loss_pct
Atrial Fibrillation,500,True,5,Atrial Fibrillation,489,97.8,487,97.4,0.4089979550102249,481,96.2,479,95.8,0.4158004158004158,470,94.0,470,94.0,0.0
Bradycardia,500,True,4,Bradycardia,472,94.4,459,91.8,2.7542372881355934,470,94.0,457,91.4,2.765957446808511,468,93.6,455,91.0,2.7777777777777777
Isolated Supraventricular Beat,500,True,16,none,268,53.6,268,53.6,0.0,218,43.6,218,43.6,0.0,160,32.0,160,32.0,0.0
Isolated Ventricular Beat,500,True,9,none,393,78.6,393,78.6,0.0,372,74.4,372,74.4,0.0,349,69.8,349,69.8,0.0
Pause,82,True,142,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
ST Elevation,1,True,68,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Bigeminy,64,True,16,none,50,78.125,50,78.125,0.0,42,65.625,42,65.625,0.0,33,51.5625,33,51.5625,0.0
Supraventricular Couplet,500,True,19,none,22,4.4,22,4.4,0.0,7,1.4,7,1.4,0.0,4,0.8,4,0.8,0.0
Supraventricular Run,26,True,93,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Trigeminy,76,True,16,Supraventricular Trigeminy,73,96.05263157894736,65,85.52631578947368,10.95890410958904,68,89.47368421052632,60,78.94736842105263,11.764705882352942,58,76.3157894736842,50,65.78947368421052,13.79310344827586
Ventricular Couplet,36,True,9,none,29,80.55555555555556,29,80.55555555555556,0.0,22,61.111111111111114,22,61.111111111111114,0.0,20,55.55555555555556,20,55.55555555555556,0.0
Ventricular Run,500,True,98,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
