event_type,n,v31_head_idx,multilabel_det_pct,argmax_top1_pct,argmax_top3_pct,spec_argmax_top1_pct,spec_argmax_top3_pct,mean_heads_at_0.5
Atrial Fibrillation,500,5,97.8,0.0,64.2,35.199999999999996,93.0,7.854
Supraventricular Trigeminy,76,16,96.05263157894737,0.0,3.9473684210526314,30.263157894736842,93.42105263157895,6.776315789473684
Bradycardia,500,4,94.39999999999999,1.2,83.0,53.800000000000004,93.0,6.932
Ventricular Couplet,36,9,80.55555555555556,0.0,5.555555555555555,13.88888888888889,55.55555555555556,9.333333333333334
Isolated Ventricular Beat,500,9,78.60000000000001,0.6,12.2,26.0,70.0,8.696
Supraventricular Bigeminy,64,16,78.125,0.0,1.5625,34.375,65.625,8.15625
Isolated Supraventricular Beat,500,16,53.6,0.0,1.6,10.4,45.2,7.84
Supraventricular Couplet,500,19,4.3999999999999995,0.0,0.0,0.0,0.2,10.056
ST Elevation,1,68,0.0,0.0,0.0,0.0,0.0,6.0
Ventricular Run,500,98,0.0,0.0,0.0,0.0,0.0,8.428
Pause,82,142,0.0,0.0,0.0,0.0,0.0,8.609756097560975
Supraventricular Run,26,93,0.0,0.0,0.0,0.0,0.0,7.884615384615385
