event_type,idx,is_target,n,base_det,cand_det,delta_pp
Atrial Fibrillation,5,True,500,0.978,0.82,-15.800000000000002
Bradycardia,4,True,500,0.944,0.804,-13.99999999999999
Isolated Supraventricular Beat,16,False,500,0.536,0.536,0.0
Isolated Ventricular Beat,9,True,500,0.786,0.514,-27.200000000000003
Pause,142,False,82,0.0,0.0,0.0
ST Elevation,68,False,1,0.0,0.0,0.0
Supraventricular Bigeminy,16,False,64,0.78125,0.78125,0.0
Supraventricular Couplet,19,False,500,0.044,0.044,0.0
Supraventricular Run,93,True,26,0.0,0.0,0.0
Supraventricular Trigeminy,16,False,76,0.9605263157894737,0.9605263157894737,0.0
Ventricular Couplet,9,True,36,0.8055555555555556,0.3888888888888889,-41.66666666666667
Ventricular Run,98,True,500,0.0,0.0,0.0
