event_type,head_idx,n,base_mean,base_det50,fuzzy_mean,fuzzy_det50,delta_det
Atrial Fibrillation,5,500,0.9126039743423462,0.978,0.05858895927667618,0.002,-0.976
Bradycardia,4,500,0.9138044118881226,0.944,0.10854698717594147,0.008,-0.9359999999999999
Isolated Supraventricular Beat,16,500,0.5165965557098389,0.536,0.023815063759684563,0.0,-0.536
Isolated Ventricular Beat,9,500,0.7661821246147156,0.786,0.013357139192521572,0.0,-0.786
Pause,142,82,0.009690959937870502,0.0,0.016320914030075073,0.0,0.0
ST Elevation,68,1,0.025097167119383812,0.0,0.003995842300355434,0.0,0.0
Supraventricular Bigeminy,16,64,0.6508387327194214,0.78125,0.023536190390586853,0.0,-0.78125
Supraventricular Couplet,19,500,0.1767319142818451,0.044,0.013303768821060658,0.0,-0.044
Supraventricular Run,93,26,0.06160671263933182,0.0,0.020517604425549507,0.0,0.0
Supraventricular Trigeminy,16,76,0.7730647921562195,0.9605263157894737,0.04085551202297211,0.0,-0.9605263157894737
Ventricular Couplet,9,36,0.7118260860443115,0.8055555555555556,0.01423091534525156,0.0,-0.8055555555555556
Ventricular Run,98,500,0.06555604189634323,0.0,0.014710988849401474,0.0,0.0
