event_type,head_idx,n,base_mean,base_det50,fuzzy_mean,fuzzy_det50,delta_det
Atrial Fibrillation,5,500,0.9126039743423462,0.978,0.16086575388908386,0.068,-0.9099999999999999
Bradycardia,4,500,0.9138044118881226,0.944,0.6341033577919006,0.942,-0.0020000000000000018
Isolated Supraventricular Beat,16,500,0.5165965557098389,0.536,0.5896113514900208,0.908,0.372
Isolated Ventricular Beat,9,500,0.7661821246147156,0.786,0.7856394052505493,0.974,0.18799999999999994
Pause,142,82,0.009690959937870502,0.0,0.43629300594329834,0.0,0.0
ST Elevation,68,1,0.025097167119383812,0.0,0.47191646695137024,0.0,0.0
Supraventricular Bigeminy,16,64,0.6508387327194214,0.78125,0.597296953201294,1.0,0.21875
Supraventricular Couplet,19,500,0.1767319142818451,0.044,0.5131402015686035,0.818,0.7739999999999999
Supraventricular Run,93,26,0.06160671263933182,0.0,0.45388171076774597,0.0,0.0
Supraventricular Trigeminy,16,76,0.7730647921562195,0.9605263157894737,0.6458190679550171,1.0,0.03947368421052633
Ventricular Couplet,9,36,0.7118260860443115,0.8055555555555556,0.7679133415222168,1.0,0.19444444444444442
Ventricular Run,98,500,0.06555604189634323,0.0,0.48554643988609314,0.028,0.028
