founder_idx,founder_head,in_ptbxl,ptbxl_positives,fzark_events,fzark_TP_total,fzark_FP_total,risk_tier
2,NORMAL ECG,True,9514,,0,0,
3,SINUS RHYTHM,True,16748,,0,0,
4,SINUS BRADYCARDIA,True,637,Bradycardia,2155,5941,high
5,ATRIAL FIBRILLATION,True,1514,Atrial Fibrillation,19566,1793,high
6,SINUS TACHYCARDIA,True,826,Sinus Tachycardia,0,530,low
9,PREMATURE VENTRICULAR COMPLEXES,True,1143,Isolated Ventricular Beat; Ventricular Couplet,2319,12877,low
11,RIGHT BUNDLE BRANCH BLOCK,True,1658,,0,0,
12,SEPTAL INFARCT,True,2357,,0,0,
13,LEFT ATRIAL ENLARGEMENT,True,426,,0,0,
15,LOW VOLTAGE QRS,True,3327,,0,0,
16,PREMATURE ATRIAL COMPLEXES,False,0,Isolated Supraventricular Beat; Supraventricular Trigeminy; Supraventricular Bigeminy,3674,44680,low
17,ANTERIOR INFARCT,True,353,,0,0,
19,PREMATURE SUPRAVENTRICULAR COMPLEXES,False,0,Supraventricular Couplet,2021,10061,moderate
20,LEFT BUNDLE BRANCH BLOCK,True,613,,0,0,
24,LATERAL INFARCT,True,1018,,0,0,
26,LEFT VENTRICULAR HYPERTROPHY,True,2354,,0,0,
30,QT HAS LENGTHENED,True,117,,0,0,
32,ATRIAL FLUTTER,True,73,,0,0,
36,LEFT ANTERIOR FASCICULAR BLOCK,True,1623,,0,0,
40,ANTEROSEPTAL INFARCT,True,2357,,0,0,
50,ELECTRONIC ATRIAL PACEMAKER,True,294,,0,0,
54,ANTEROLATERAL INFARCT,True,288,,0,0,
60,RIGHT ATRIAL ENLARGEMENT,True,99,,0,0,
61,INFERIOR INFARCT,True,2676,,0,0,
68,ST ELEVATION NOW PRESENT IN,False,0,ST Elevation,1,0,critical
70,LEFT POSTERIOR FASCICULAR BLOCK,True,177,,0,0,
78,WITH QRS WIDENING,True,3327,,0,0,
79,WITH 1ST DEGREE AV BLOCK,True,793,,0,0,
82,RIGHT VENTRICULAR HYPERTROPHY,True,126,,0,0,
93,SUPRAVENTRICULAR TACHYCARDIA,True,42,Supraventricular Run,26,21263,moderate
98,VENTRICULAR TACHYCARDIA,True,42,Ventricular Run,5212,3170,critical
101,ANTEROLATERAL LEADS,True,659,,0,0,
107,WOLFF-PARKINSON-WHITE,True,79,,0,0,
112,NONSPECIFIC INTRAVENTRICULAR BLOCK,True,787,,0,0,
142,WITH SINUS PAUSE,False,0,Pause,82,786,critical
