event_type,n,in_label_map,target_class_idx,evaluation_head,baseline_mean_p,baseline_p90,baseline_raw_alerts,baseline_raw_rate_pct,baseline_post_alerts,baseline_post_rate_pct,baseline_supp_gain_pct,finetuned_mean_p,finetuned_p90,finetuned_raw_alerts,finetuned_raw_rate_pct,finetuned_post_alerts,finetuned_post_rate_pct,finetuned_supp_gain_pct
Atrial Fibrillation,200,True,5,Atrial Fibrillation,0.6171678900718689,0.8947263956069946,142,71.0,7.0,3.5,95.07042253521126,0.3073898255825043,0.7405678629875183,94,47.0,4.0,2.0,95.74468085106383
Isolated Supraventricular Beat,200,True,16,Isolated Supraventricular Beat,0.31086593866348267,0.5295109152793884,23,11.5,,,,0.26369255781173706,0.4327814280986786,80,40.0,,,
Isolated Ventricular Beat,200,True,9,Isolated Ventricular Beat,0.4127953052520752,0.8173068761825562,62,31.0,,,,0.4869493842124939,0.9055124521255493,139,69.5,,,
Pause,200,True,143,Pause,0.015365744940936565,0.02363891340792179,0,0.0,,,,0.017603164538741112,0.02670808881521225,0,0.0,,,
Prolonged RR Interval,17,True,81,Prolonged RR Interval,0.0092186089605093,0.014789589680731297,0,0.0,,,,0.003922640345990658,0.008339781314134598,0,0.0,,,
Sinus Tachycardia,200,True,6,Sinus Tachycardia,0.9404206871986389,0.971879780292511,199,99.5,,,,0.9332559108734131,0.9784353971481323,200,100.0,,,
Supraventricular Couplet,200,True,20,Supraventricular Couplet,0.07261419296264648,0.1649317890405655,3,1.5,,,,0.05997714027762413,0.12829306721687317,9,4.5,,,
Ventricular Couplet,200,True,91,Ventricular Couplet,0.03626146540045738,0.07859771698713303,0,0.0,,,,0.02575165592133999,0.0883929654955864,1,0.5,,,
Ventricular Run,200,True,99,Ventricular Run,0.007375214248895645,0.011689089238643646,0,0.0,,,,0.004085548222064972,0.006895333994179964,0,0.0,,,
Bradycardia,200,False,5,Bradycardia  →  AFib head,0.5930083990097046,0.8558670282363892,139,69.5,13.0,6.5,90.64748201438849,0.3293924331665039,0.6749703288078308,113,56.5,10.0,5.0,91.15044247787611
Custom Heart Rate,22,False,5,Custom Heart Rate  →  AFib head,0.6916811466217041,0.8734999299049377,18,81.81818181818181,0.0,0.0,100.0,0.3100103735923767,0.6245089769363403,12,54.54545454545455,0.0,0.0,100.0
Multiple Event,200,False,5,Multiple Event  →  AFib head,0.5341646671295166,0.8729532957077026,116,58.0,8.0,4.0,93.10344827586206,0.3209007978439331,0.7697864770889282,101,50.5,7.0,3.5,93.06930693069307
Supraventricular Bigeminy,1,False,5,Supraventricular Bigeminy  →  AFib head,0.06007487699389458,0.06007487699389458,0,0.0,0.0,0.0,0.0,0.002237502718344331,0.002237502718344331,0,0.0,0.0,0.0,0.0
Supraventricular Run,200,False,5,Supraventricular Run  →  AFib head,0.471608430147171,0.8447580337524414,96,48.0,2.0,1.0,97.91666666666667,0.24373941123485565,0.6344203948974609,84,42.0,2.0,1.0,97.61904761904762
Supraventricular Trigeminy,200,False,5,Supraventricular Trigeminy  →  AFib head,0.4327319860458374,0.8231332302093506,71,35.5,0.0,0.0,100.0,0.1013529896736145,0.4249694049358368,29,14.5,0.0,0.0,100.0
Ventricular Tachycardia,1,False,5,Ventricular Tachycardia  →  AFib head,0.76933354139328,0.76933354139328,1,100.0,0.0,0.0,100.0,0.5592111945152283,0.5592111945152283,1,100.0,0.0,0.0,100.0
Ventricular Trigeminy,200,False,5,Ventricular Trigeminy  →  AFib head,0.5282459259033203,0.8661890029907227,116,58.0,8.0,4.0,93.10344827586206,0.18506833910942078,0.6344169974327087,53,26.5,3.0,1.5,94.33962264150944
