event_type,n,in_label_map,class_idx,eval_head,suppressor_target,baseline_raw_alerts,baseline_raw_rate_pct,baseline_post_alerts,baseline_post_rate_pct,baseline_supp_gain_pct
Atrial Fibrillation,500,True,5,Atrial Fibrillation,Atrial Fibrillation,360,72.0,0.0,0.0,100.0
Bradycardia,500,True,4,Bradycardia,Bradycardia,16,3.2,9.0,1.8,43.75
Isolated Supraventricular Beat,500,True,16,Isolated Supraventricular Beat,none,153,30.6,,,
Isolated Ventricular Beat,500,True,9,Isolated Ventricular Beat,none,127,25.4,,,
Pause,500,True,142,Pause,none,0,0.0,,,
Sinus Tachycardia,500,True,6,Sinus Tachycardia,none,495,99.0,,,
Supraventricular Bigeminy,1,True,16,Supraventricular Bigeminy,none,1,100.0,,,
Supraventricular Couplet,500,True,19,Supraventricular Couplet,none,11,2.2,,,
Supraventricular Run,500,True,93,Supraventricular Run,none,0,0.0,,,
Supraventricular Trigeminy,500,True,16,Supraventricular Trigeminy,Supraventricular Trigeminy,337,67.4,4.0,0.8,98.81305637982196
Ventricular Couplet,500,True,9,Ventricular Couplet,none,98,19.6,,,
Ventricular Run,500,True,98,Ventricular Run,none,0,0.0,,,
Custom Heart Rate,22,False,5,Custom Heart Rate → AFib head,none,18,81.81818181818181,,,
Multiple Event,500,False,5,Multiple Event → AFib head,none,312,62.4,,,
Prolonged RR Interval,17,False,5,Prolonged RR Interval → AFib head,none,3,17.647058823529413,,,
Ventricular Tachycardia,1,False,5,Ventricular Tachycardia → AFib head,none,1,100.0,,,
Ventricular Trigeminy,500,False,5,Ventricular Trigeminy → AFib head,Ventricular Trigeminy,189,37.8,3.0,0.6,98.41269841269842
