event_type,n,in_label_map,class_idx,suppressor_target,bs_0.5_raw_alerts,bs_0.5_raw_rate_pct,bs_0.5_post_alerts,bs_0.5_post_rate_pct,bs_0.5_supp_gain_pct,bs_0.6_raw_alerts,bs_0.6_raw_rate_pct,bs_0.6_post_alerts,bs_0.6_post_rate_pct,bs_0.6_supp_gain_pct,bs_0.7_raw_alerts,bs_0.7_raw_rate_pct,bs_0.7_post_alerts,bs_0.7_post_rate_pct,bs_0.7_supp_gain_pct
Atrial Fibrillation,500,True,5,none,360,72.0,360,72.0,0.0,309,61.8,309,61.8,0.0,246,49.2,246,49.2,0.0
Bradycardia,500,True,4,none,16,3.2,16,3.2,0.0,13,2.6,13,2.6,0.0,11,2.2,11,2.2,0.0
Isolated Supraventricular Beat,500,True,16,none,153,30.6,153,30.6,0.0,105,21.0,105,21.0,0.0,68,13.6,68,13.6,0.0
Isolated Ventricular Beat,500,True,9,none,127,25.4,127,25.4,0.0,93,18.6,93,18.6,0.0,62,12.4,62,12.4,0.0
Pause,500,True,142,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Sinus Tachycardia,500,True,6,none,495,99.0,495,99.0,0.0,493,98.6,493,98.6,0.0,491,98.2,491,98.2,0.0
Supraventricular Bigeminy,1,True,16,none,1,100.0,1,100.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Couplet,500,True,19,none,11,2.2,11,2.2,0.0,5,1.0,5,1.0,0.0,2,0.4,2,0.4,0.0
Supraventricular Run,500,True,93,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Trigeminy,500,True,16,none,337,67.4,337,67.4,0.0,274,54.8,274,54.8,0.0,203,40.6,203,40.6,0.0
Ventricular Couplet,500,True,9,none,98,19.6,98,19.6,0.0,76,15.2,76,15.2,0.0,53,10.6,53,10.6,0.0
Ventricular Run,500,True,98,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Custom Heart Rate,22,False,5,none,18,81.81818181818181,18,81.81818181818181,0.0,15,68.18181818181819,15,68.18181818181819,0.0,13,59.09090909090909,13,59.09090909090909,0.0
Multiple Event,500,False,5,none,312,62.4,312,62.4,0.0,288,57.6,288,57.6,0.0,252,50.4,252,50.4,0.0
Prolonged RR Interval,17,False,5,none,3,17.647058823529413,3,17.647058823529413,0.0,1,5.882352941176471,1,5.882352941176471,0.0,0,0.0,0,0.0,0.0
Ventricular Tachycardia,1,False,5,none,1,100.0,1,100.0,0.0,1,100.0,1,100.0,0.0,1,100.0,1,100.0,0.0
Ventricular Trigeminy,500,False,5,none,189,37.8,189,37.8,0.0,134,26.8,134,26.8,0.0,98,19.6,98,19.6,0.0
