window_id,subject,window_index,nominal_start_s,nominal_end_s,real_start_s,real_end_s,activity_label,sync_devices,devices_present,ecg_lead,ecg_path,acc_chest_path,ppg_wrist_path,chest_motion_mg,chest_motion_std_mg,is_zero_padded,ecg_pad_fraction,acc_chest_pad_fraction,ppg_wrist_pad_fraction
03FH_w0000,03FH,0,277.0,287.0,277.0,287.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0000.npy,acc_chest/03FH_w0000.npy,ppg_wrist/03FH_w0000.npy,1.012,10.97,False,0.0,0.0,0.0
03FH_w0001,03FH,1,287.0,297.0,287.0,297.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0001.npy,acc_chest/03FH_w0001.npy,ppg_wrist/03FH_w0001.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0002,03FH,2,297.0,307.0,297.0,307.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0002.npy,acc_chest/03FH_w0002.npy,ppg_wrist/03FH_w0002.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0003,03FH,3,307.0,317.0,307.0,317.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0003.npy,acc_chest/03FH_w0003.npy,ppg_wrist/03FH_w0003.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0004,03FH,4,317.0,327.0,317.0,327.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0004.npy,acc_chest/03FH_w0004.npy,ppg_wrist/03FH_w0004.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0005,03FH,5,327.0,337.0,327.0,337.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0005.npy,acc_chest/03FH_w0005.npy,ppg_wrist/03FH_w0005.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0006,03FH,6,337.0,347.0,337.0,347.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0006.npy,acc_chest/03FH_w0006.npy,ppg_wrist/03FH_w0006.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0007,03FH,7,347.0,357.0,347.0,357.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0007.npy,acc_chest/03FH_w0007.npy,ppg_wrist/03FH_w0007.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0008,03FH,8,357.0,367.0,357.0,367.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0008.npy,acc_chest/03FH_w0008.npy,ppg_wrist/03FH_w0008.npy,0.312,11.612,False,0.0,0.0,0.0
03FH_w0009,03FH,9,367.0,377.0,367.0,377.0,baseline,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0009.npy,acc_chest/03FH_w0009.npy,ppg_wrist/03FH_w0009.npy,0.684,12.319,False,0.0,0.0,0.0
03FH_w0010,03FH,10,377.0,387.0,377.0,387.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0010.npy,acc_chest/03FH_w0010.npy,ppg_wrist/03FH_w0010.npy,1.123,3.586,False,0.0,0.0,0.0
03FH_w0011,03FH,11,387.0,397.0,387.0,397.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0011.npy,acc_chest/03FH_w0011.npy,ppg_wrist/03FH_w0011.npy,1.597,4.924,False,0.0,0.0,0.0
03FH_w0012,03FH,12,397.0,407.0,397.0,407.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0012.npy,acc_chest/03FH_w0012.npy,ppg_wrist/03FH_w0012.npy,1.573,5.43,False,0.0,0.0,0.0
03FH_w0013,03FH,13,407.0,417.0,407.0,417.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0013.npy,acc_chest/03FH_w0013.npy,ppg_wrist/03FH_w0013.npy,1.508,3.938,False,0.0,0.0,0.0
03FH_w0014,03FH,14,417.0,427.0,417.0,427.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0014.npy,acc_chest/03FH_w0014.npy,ppg_wrist/03FH_w0014.npy,1.584,3.717,False,0.0,0.0,0.0
03FH_w0015,03FH,15,427.0,437.0,427.0,437.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0015.npy,acc_chest/03FH_w0015.npy,ppg_wrist/03FH_w0015.npy,1.748,7.343,False,0.0,0.0,0.0
03FH_w0016,03FH,16,437.0,447.0,437.0,447.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0016.npy,acc_chest/03FH_w0016.npy,ppg_wrist/03FH_w0016.npy,1.868,7.861,False,0.0,0.0,0.0
03FH_w0017,03FH,17,447.0,457.0,447.0,457.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0017.npy,acc_chest/03FH_w0017.npy,ppg_wrist/03FH_w0017.npy,1.826,4.988,False,0.0,0.0,0.0
03FH_w0018,03FH,18,457.0,467.0,457.0,467.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0018.npy,acc_chest/03FH_w0018.npy,ppg_wrist/03FH_w0018.npy,1.729,5.346,False,0.0,0.0,0.0
03FH_w0019,03FH,19,467.0,477.0,467.0,477.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0019.npy,acc_chest/03FH_w0019.npy,ppg_wrist/03FH_w0019.npy,1.682,5.261,False,0.0,0.0,0.0
03FH_w0020,03FH,20,477.0,487.0,477.0,487.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0020.npy,acc_chest/03FH_w0020.npy,ppg_wrist/03FH_w0020.npy,1.577,5.049,False,0.0,0.0,0.0
03FH_w0021,03FH,21,487.0,497.0,487.0,497.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0021.npy,acc_chest/03FH_w0021.npy,ppg_wrist/03FH_w0021.npy,1.569,5.311,False,0.0,0.0,0.0
03FH_w0022,03FH,22,497.0,507.0,497.0,507.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0022.npy,acc_chest/03FH_w0022.npy,ppg_wrist/03FH_w0022.npy,1.6,5.688,False,0.0,0.0,0.0
03FH_w0023,03FH,23,507.0,517.0,507.0,517.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0023.npy,acc_chest/03FH_w0023.npy,ppg_wrist/03FH_w0023.npy,1.592,5.631,False,0.0,0.0,0.0
03FH_w0024,03FH,24,517.0,527.0,517.0,527.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0024.npy,acc_chest/03FH_w0024.npy,ppg_wrist/03FH_w0024.npy,1.664,6.224,False,0.0,0.0,0.0
03FH_w0025,03FH,25,527.0,537.0,527.0,537.0,run,chest+empatica,chest+empatica+forearm,gel,ecg/03FH_w0025.npy,acc_chest/03FH_w0025.npy,ppg_wrist/03FH_w0025.npy,1.681,6.014,False,0.0,0.0,0.0
