head,name,fire_type,n,mean_other_scope,pct_solo,top_companion,rate
4,SINUS BRADYCARDIA,TP,618,0.100,0.916,5:ATRIAL FIBRILLATION,0.057
4,SINUS BRADYCARDIA,FP,3127,0.074,0.932,5:ATRIAL FIBRILLATION,0.050
5,ATRIAL FIBRILLATION,TP,1477,0.241,0.775,6:SINUS TACHYCARDIA,0.199
5,ATRIAL FIBRILLATION,FP,658,0.460,0.594,4:SINUS BRADYCARDIA,0.229
6,SINUS TACHYCARDIA,TP,810,0.047,0.958,5:ATRIAL FIBRILLATION,0.036
6,SINUS TACHYCARDIA,FP,1718,0.364,0.690,5:ATRIAL FIBRILLATION,0.237
93,SUPRAVENTRICULAR TACHYCARDIA,TP,24,2.042,0.000,6:SINUS TACHYCARDIA,1.000
93,SUPRAVENTRICULAR TACHYCARDIA,FP,31,2.323,0.000,6:SINUS TACHYCARDIA,1.000
98,VENTRICULAR TACHYCARDIA,TP,27,1.926,0.000,6:SINUS TACHYCARDIA,1.000
98,VENTRICULAR TACHYCARDIA,FP,44,2.000,0.000,6:SINUS TACHYCARDIA,1.000
142,WITH SINUS PAUSE,TP,0,nan,nan,,
142,WITH SINUS PAUSE,FP,0,nan,nan,,
