main_head,main_name,cofire_head,cofire_name,n,mean,p0,p5,p10,p25,p50,p75,p90,p100,cofire_head_solo_score_median_for_ref
4,SINUS BRADYCARDIA,5,ATRIAL FIBRILLATION,120,0.6388,0.5001,0.5048,0.5117,0.5372,0.6072,0.7324,0.8053,0.8926,0.9743
4,SINUS BRADYCARDIA,6,SINUS TACHYCARDIA,77,0.5941,0.5002,0.5069,0.5173,0.5426,0.5768,0.6376,0.6998,0.7674,0.9115
5,ATRIAL FIBRILLATION,4,SINUS BRADYCARDIA,66,0.6654,0.5036,0.5381,0.5487,0.5847,0.6331,0.763,0.8079,0.8968,0.9692
5,ATRIAL FIBRILLATION,6,SINUS TACHYCARDIA,319,0.6567,0.501,0.5203,0.5317,0.5697,0.6351,0.7271,0.8259,0.931,0.9115
5,ATRIAL FIBRILLATION,93,SUPRAVENTRICULAR TACHYCARDIA,8,0.647,0.5365,0.5367,0.5369,0.584,0.6089,0.7003,0.7813,0.8502,0.9749
5,ATRIAL FIBRILLATION,98,VENTRICULAR TACHYCARDIA,7,0.6626,0.5225,0.5381,0.5537,0.595,0.6475,0.7274,0.7866,0.8237,0.9866
6,SINUS TACHYCARDIA,4,SINUS BRADYCARDIA,16,0.6254,0.509,0.5095,0.5204,0.5434,0.6245,0.6896,0.7452,0.8154,0.9692
6,SINUS TACHYCARDIA,5,ATRIAL FIBRILLATION,104,0.6908,0.5013,0.512,0.5236,0.5678,0.6718,0.8007,0.8846,0.9601,0.9743
6,SINUS TACHYCARDIA,93,SUPRAVENTRICULAR TACHYCARDIA,41,0.724,0.5058,0.5189,0.537,0.5824,0.7322,0.8426,0.8939,0.9505,0.9749
6,SINUS TACHYCARDIA,98,VENTRICULAR TACHYCARDIA,58,0.7211,0.5011,0.5077,0.5518,0.595,0.7424,0.8272,0.8775,0.9618,0.9866
93,SUPRAVENTRICULAR TACHYCARDIA,6,SINUS TACHYCARDIA,4,0.934,0.9059,0.9075,0.9091,0.914,0.9319,0.9519,0.9604,0.9662,0.9115
93,SUPRAVENTRICULAR TACHYCARDIA,98,VENTRICULAR TACHYCARDIA,4,0.9617,0.9322,0.9372,0.9423,0.9575,0.9692,0.9733,0.975,0.9761,0.9866
98,VENTRICULAR TACHYCARDIA,6,SINUS TACHYCARDIA,2,0.8736,0.774,0.7839,0.7939,0.8238,0.8736,0.9234,0.9533,0.9732,0.9115
98,VENTRICULAR TACHYCARDIA,93,SUPRAVENTRICULAR TACHYCARDIA,2,0.9723,0.9595,0.9608,0.9621,0.9659,0.9723,0.9788,0.9826,0.9852,0.9749
