head,name,role,n_fired,n_tp_annotated,n_fp_not_annotated,precision,mean_score_tp,mean_score_fp
4,SINUS BRADYCARDIA,main,3663,609,3054,0.1663,0.9591,0.9336
4,SINUS BRADYCARDIA,cofire,82,9,73,0.1098,0.6469,0.659
4,SINUS BRADYCARDIA,all,3745,618,3127,0.165,0.9545,0.9272
5,ATRIAL FIBRILLATION,main,1911,1444,467,0.7556,0.9651,0.744
5,ATRIAL FIBRILLATION,cofire,224,33,191,0.1473,0.7813,0.6425
5,ATRIAL FIBRILLATION,all,2135,1477,658,0.6918,0.961,0.7145
6,SINUS TACHYCARDIA,main,2126,806,1320,0.3791,0.9919,0.7318
6,SINUS TACHYCARDIA,cofire,402,4,398,0.01,0.89,0.6461
6,SINUS TACHYCARDIA,all,2528,810,1718,0.3204,0.9914,0.712
93,SUPRAVENTRICULAR TACHYCARDIA,main,4,4,0,1.0,0.9656,nan
93,SUPRAVENTRICULAR TACHYCARDIA,cofire,51,20,31,0.3922,0.7717,0.6893
93,SUPRAVENTRICULAR TACHYCARDIA,all,55,24,31,0.4364,0.804,0.6893
98,VENTRICULAR TACHYCARDIA,main,2,1,1,0.5,0.9837,0.9895
98,VENTRICULAR TACHYCARDIA,cofire,69,26,43,0.3768,0.796,0.6887
98,VENTRICULAR TACHYCARDIA,all,71,27,44,0.3803,0.8029,0.6955
142,WITH SINUS PAUSE,main,0,0,0,nan,nan,nan
142,WITH SINUS PAUSE,cofire,0,0,0,nan,nan,nan
142,WITH SINUS PAUSE,all,0,0,0,nan,nan,nan
