head,name,role,n,mean,p0,p5,p10,p25,p50,p75,p90,p100
4,SINUS BRADYCARDIA,main,3663,0.9378,0.5023,0.7581,0.8401,0.932,0.9692,0.9842,0.9911,0.9988
4,SINUS BRADYCARDIA,cofire,82,0.6576,0.5036,0.5299,0.5422,0.5761,0.6316,0.7253,0.8042,0.8968
5,ATRIAL FIBRILLATION,main,1911,0.9111,0.5006,0.5814,0.6737,0.9106,0.9743,0.9878,0.9922,0.9976
5,ATRIAL FIBRILLATION,cofire,224,0.663,0.5001,0.5071,0.5148,0.5454,0.6351,0.7781,0.8504,0.9601
6,SINUS TACHYCARDIA,main,2126,0.8304,0.5003,0.5303,0.5609,0.6547,0.9115,0.9955,0.9987,0.9998
6,SINUS TACHYCARDIA,cofire,402,0.6486,0.5002,0.5185,0.5272,0.5608,0.6206,0.7148,0.8095,0.9732
93,SUPRAVENTRICULAR TACHYCARDIA,main,4,0.9656,0.9328,0.9387,0.9446,0.9624,0.9749,0.9781,0.979,0.9796
93,SUPRAVENTRICULAR TACHYCARDIA,cofire,51,0.7216,0.5058,0.5231,0.537,0.591,0.7222,0.8436,0.8982,0.9852
98,VENTRICULAR TACHYCARDIA,main,2,0.9866,0.9837,0.984,0.9843,0.9852,0.9866,0.9881,0.9889,0.9895
98,VENTRICULAR TACHYCARDIA,cofire,69,0.7291,0.5011,0.5138,0.552,0.603,0.7428,0.8387,0.9271,0.9761
142,WITH SINUS PAUSE,main,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
142,WITH SINUS PAUSE,cofire,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
