cofire_count,head_a,name_a,head_b,name_b,jaccard
20606,0,ABNORMAL ECG,3,SINUS RHYTHM,0.9459
17328,1,NORMAL SINUS RHYTHM,3,SINUS RHYTHM,0.8404
17320,0,ABNORMAL ECG,1,NORMAL SINUS RHYTHM,0.7952
15970,0,ABNORMAL ECG,13,LEFT ATRIAL ENLARGEMENT,0.7335
15131,3,SINUS RHYTHM,13,LEFT ATRIAL ENLARGEMENT,0.7051
13849,1,NORMAL SINUS RHYTHM,13,LEFT ATRIAL ENLARGEMENT,0.712
6698,0,ABNORMAL ECG,11,RIGHT BUNDLE BRANCH BLOCK,0.3076
6452,3,SINUS RHYTHM,11,RIGHT BUNDLE BRANCH BLOCK,0.3092
5377,1,NORMAL SINUS RHYTHM,11,RIGHT BUNDLE BRANCH BLOCK,0.2883
5052,11,RIGHT BUNDLE BRANCH BLOCK,13,LEFT ATRIAL ENLARGEMENT,0.2868
4796,0,ABNORMAL ECG,8,LEFT AXIS DEVIATION,0.2203
4717,0,ABNORMAL ECG,26,LEFT VENTRICULAR HYPERTROPHY,0.2167
4594,3,SINUS RHYTHM,26,LEFT VENTRICULAR HYPERTROPHY,0.2215
4586,3,SINUS RHYTHM,8,LEFT AXIS DEVIATION,0.2202
3790,0,ABNORMAL ECG,18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0.1741
3781,11,RIGHT BUNDLE BRANCH BLOCK,18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0.5637
3744,0,ABNORMAL ECG,4,SINUS BRADYCARDIA,0.172
3735,1,NORMAL SINUS RHYTHM,8,LEFT AXIS DEVIATION,0.2031
3708,1,NORMAL SINUS RHYTHM,26,LEFT VENTRICULAR HYPERTROPHY,0.2022
3630,3,SINUS RHYTHM,18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0.1747
3497,8,LEFT AXIS DEVIATION,13,LEFT ATRIAL ENLARGEMENT,0.2025
3438,3,SINUS RHYTHM,4,SINUS BRADYCARDIA,0.1643
3431,13,LEFT ATRIAL ENLARGEMENT,26,LEFT VENTRICULAR HYPERTROPHY,0.1988
3187,1,NORMAL SINUS RHYTHM,18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0.1777
3121,13,LEFT ATRIAL ENLARGEMENT,18,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0.1876
2992,0,ABNORMAL ECG,9,PREMATURE VENTRICULAR COMPLEXES,0.1374
2891,3,SINUS RHYTHM,9,PREMATURE VENTRICULAR COMPLEXES,0.1395
2754,4,SINUS BRADYCARDIA,13,LEFT ATRIAL ENLARGEMENT,0.1624
2604,1,NORMAL SINUS RHYTHM,9,PREMATURE VENTRICULAR COMPLEXES,0.147
2528,0,ABNORMAL ECG,6,SINUS TACHYCARDIA,0.1161
2495,0,ABNORMAL ECG,37,RIGHT AXIS DEVIATION,0.1146
2386,9,PREMATURE VENTRICULAR COMPLEXES,13,LEFT ATRIAL ENLARGEMENT,0.1439
2324,3,SINUS RHYTHM,37,RIGHT AXIS DEVIATION,0.1118
2297,13,LEFT ATRIAL ENLARGEMENT,74,BIATRIAL ENLARGEMENT,0.1438
2297,0,ABNORMAL ECG,74,BIATRIAL ENLARGEMENT,0.1055
2132,0,ABNORMAL ECG,5,ATRIAL FIBRILLATION,0.0979
2123,0,ABNORMAL ECG,12,SEPTAL INFARCT,0.0975
2081,3,SINUS RHYTHM,74,BIATRIAL ENLARGEMENT,0.0999
2058,0,ABNORMAL ECG,24,LATERAL INFARCT,0.0945
1980,3,SINUS RHYTHM,5,ATRIAL FIBRILLATION,0.0953
1973,1,NORMAL SINUS RHYTHM,74,BIATRIAL ENLARGEMENT,0.1118
1963,1,NORMAL SINUS RHYTHM,37,RIGHT AXIS DEVIATION,0.1099
1949,11,RIGHT BUNDLE BRANCH BLOCK,37,RIGHT AXIS DEVIATION,0.2691
1949,3,SINUS RHYTHM,24,LATERAL INFARCT,0.094
1938,3,SINUS RHYTHM,12,SEPTAL INFARCT,0.0932
1909,0,ABNORMAL ECG,39,UNDETERMINED RHYTHM,0.0877
1877,8,LEFT AXIS DEVIATION,11,RIGHT BUNDLE BRANCH BLOCK,0.1952
1850,2,NORMAL ECG,3,SINUS RHYTHM,0.0897
1850,1,NORMAL SINUS RHYTHM,2,NORMAL ECG,0.1068
1848,3,SINUS RHYTHM,39,UNDETERMINED RHYTHM,0.0894
