onset_s,offset_s,duration_s,n_windows,n_fired,peak_prob,mean_prob,label,head
643.0,663.0,20.0,2,2,0.997,0.971,Sinus Tachycardia,6
693.0,703.0,10.0,1,1,0.992,0.992,Sinus Tachycardia,6
1453.0,1933.0,480.0,48,48,0.979,0.9,Sinus Tachycardia,6
1453.0,1513.0,60.0,6,6,0.709,0.585,Ventricular Run,98
1533.0,1543.0,10.0,1,1,0.617,0.617,Ventricular Run,98
1603.0,1933.0,330.0,33,32,0.79,0.629,Ventricular Run,98
1613.0,1643.0,30.0,3,3,0.552,0.528,Supraventricular Run,93
1983.0,2743.0,760.0,76,76,0.987,0.844,Sinus Tachycardia,6
2023.0,2073.0,50.0,5,4,0.682,0.561,Ventricular Run,98
2283.0,2293.0,10.0,1,1,0.539,0.539,Ventricular Run,98
2363.0,2383.0,20.0,2,2,0.55,0.544,Ventricular Run,98
2433.0,2443.0,10.0,1,1,0.533,0.533,Ventricular Run,98
2463.0,2543.0,80.0,8,5,0.684,0.507,Ventricular Run,98
2583.0,2613.0,30.0,3,2,0.713,0.544,Ventricular Run,98
2633.0,2643.0,10.0,1,1,0.747,0.747,Ventricular Run,98
2663.0,2733.0,70.0,7,5,0.681,0.549,Ventricular Run,98
2763.0,3500.0,737.0,74,72,0.991,0.905,Sinus Tachycardia,6
2773.0,2803.0,30.0,3,2,0.585,0.526,Ventricular Run,98
2823.0,2873.0,50.0,5,4,0.6,0.494,Ventricular Run,98
2893.0,2903.0,10.0,1,1,0.69,0.69,Ventricular Run,98
2923.0,2933.0,10.0,1,1,0.556,0.556,Ventricular Run,98
2953.0,2973.0,20.0,2,2,0.572,0.561,Ventricular Run,98
2993.0,3143.0,150.0,15,13,0.81,0.602,Ventricular Run,98
3003.0,3033.0,30.0,3,3,0.64,0.581,Supraventricular Run,93
3063.0,3073.0,10.0,1,1,0.509,0.509,Supraventricular Run,93
3163.0,3183.0,20.0,2,2,0.6,0.589,Ventricular Run,98
3173.0,3183.0,10.0,1,1,0.639,0.639,Supraventricular Run,93
3183.0,3213.0,30.0,3,3,0.829,0.747,Atrial Fibrillation,5
3233.0,3373.0,140.0,14,11,0.942,0.787,Atrial Fibrillation,5
3373.0,3383.0,10.0,1,1,0.512,0.512,Ventricular Run,98
