window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0000,33.0,43.0,baseline,0.77,0.01,0.048,0.119,0.048,0.016,0.018,0.001,-
3B8D_w0001,43.0,53.0,baseline,0.8,0.009,0.035,0.114,0.032,0.017,0.02,0.001,-
3B8D_w0002,53.0,63.0,baseline,0.72,0.012,0.023,0.093,0.026,0.014,0.016,0.001,-
3B8D_w0003,63.0,73.0,baseline,0.72,0.008,0.028,0.141,0.031,0.019,0.021,0.001,-
3B8D_w0004,73.0,83.0,baseline,0.7,0.009,0.024,0.101,0.033,0.017,0.018,0.001,-
3B8D_w0005,83.0,93.0,baseline,0.71,0.006,0.033,0.138,0.027,0.016,0.02,0.001,-
3B8D_w0006,93.0,103.0,baseline,0.88,0.004,0.018,0.223,0.333,0.027,0.025,0.002,-
3B8D_w0007,103.0,113.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0008,113.0,123.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0009,123.0,133.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0010,133.0,143.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0011,143.0,153.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0012,153.0,163.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0013,163.0,173.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0014,173.0,183.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0015,183.0,193.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0016,193.0,203.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0017,203.0,213.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0018,213.0,223.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0019,223.0,233.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0020,233.0,243.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0021,243.0,253.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
