seg,t_start_s,t_end_s,label,p
0,33.0,33.7,SINUS,0.999
1,33.7,34.4,SINUS,0.999
2,34.4,35.1,SINUS,0.999
3,35.1,35.8,SINUS,0.999
4,35.8,36.6,SINUS,0.999
5,36.6,37.3,SINUS,0.998
6,37.3,38.0,SINUS,0.998
7,38.0,38.7,SINUS,0.999
8,38.7,39.4,SINUS,0.999
9,39.4,40.1,SINUS,0.999
10,40.1,40.8,SINUS,0.999
11,40.8,41.5,SINUS,0.999
12,41.5,42.2,SINUS,0.998
13,42.2,43.0,SINUS,0.997
14,43.0,43.7,SINUS,0.999
15,43.7,44.4,SINUS,0.999
16,44.4,45.1,SINUS,0.999
17,45.1,45.8,SINUS,0.999
18,45.8,46.5,SINUS,0.999
19,46.5,47.2,SINUS,0.998
20,47.2,47.9,SINUS,0.998
21,47.9,48.6,SINUS,0.999
22,48.6,49.4,SINUS,0.999
23,49.4,50.1,SINUS,0.999
24,50.1,50.8,SINUS,0.999
25,50.8,51.5,SINUS,0.999
26,51.5,52.2,SINUS,0.998
27,52.2,52.9,SINUS,0.998
28,52.9,53.6,SINUS,0.999
29,53.6,54.3,SINUS,0.999
30,54.3,55.0,SINUS,0.999
31,55.0,55.8,SINUS,0.999
32,55.8,56.5,SINUS,0.999
33,56.5,57.2,SINUS,0.998
34,57.2,57.9,SINUS,0.997
35,57.9,58.6,SINUS,0.999
36,58.6,59.3,SINUS,0.999
37,59.3,60.0,SINUS,0.999
38,60.0,60.7,SINUS,0.999
39,60.7,61.4,SINUS,0.999
40,61.4,62.2,SINUS,0.998
41,62.2,62.9,SINUS,0.997
42,62.9,63.6,SINUS,0.999
43,63.6,64.3,SINUS,0.999
44,64.3,65.0,SINUS,0.999
45,65.0,65.7,SINUS,0.999
46,65.7,66.4,SINUS,0.999
47,66.4,67.1,SINUS,0.998
48,67.1,67.8,SINUS,0.997
49,67.8,68.6,SINUS,0.999
50,68.6,69.3,SINUS,0.999
51,69.3,70.0,SINUS,0.999
52,70.0,70.7,SINUS,0.999
53,70.7,71.4,SINUS,0.999
54,71.4,72.1,SINUS,0.998
55,72.1,72.8,SINUS,0.997
56,72.8,73.5,SINUS,0.999
57,73.5,74.2,SINUS,0.999
58,74.2,75.0,SINUS,0.999
59,75.0,75.7,SINUS,0.999
60,75.7,76.4,SINUS,0.999
61,76.4,77.1,SINUS,0.998
62,77.1,77.8,SINUS,0.998
63,77.8,78.5,SINUS,0.999
64,78.5,79.2,SINUS,0.999
65,79.2,79.9,SINUS,0.999
66,79.9,80.6,SINUS,0.999
67,80.6,81.4,SINUS,0.999
68,81.4,82.1,SINUS,0.998
69,82.1,82.8,SINUS,0.997
70,82.8,83.5,SINUS,0.999
71,83.5,84.2,SINUS,0.999
72,84.2,84.9,SINUS,0.999
73,84.9,85.6,SINUS,0.999
74,85.6,86.3,SINUS,0.998
75,86.3,87.0,SINUS,0.998
76,87.0,87.8,SINUS,0.997
77,87.8,88.5,SINUS,0.999
78,88.5,89.2,SINUS,0.999
79,89.2,89.9,SINUS,0.999
80,89.9,90.6,SINUS,0.999
81,90.6,91.3,SINUS,0.999
82,91.3,92.0,SINUS,0.998
83,92.0,92.7,SINUS,0.998
84,92.7,93.4,SINUS,0.999
85,93.4,94.2,SINUS,0.999
86,94.2,94.9,SINUS,0.999
87,94.9,95.6,SINUS,0.999
88,95.6,96.3,SINUS,0.999
89,96.3,97.0,SINUS,0.998
90,97.0,97.7,SINUS,0.998
91,97.7,98.4,SINUS,0.999
92,98.4,99.1,SINUS,0.999
93,99.1,99.8,SINUS,0.999
94,99.8,100.6,SINUS,0.999
95,100.6,101.3,SINUS,0.999
96,101.3,102.0,SINUS,0.998
97,102.0,102.7,SINUS,0.997
98,102.7,103.4,SINUS,0.998
99,103.4,104.1,SINUS,0.999
100,104.1,104.8,SINUS,0.999
101,104.8,105.5,SINUS,0.999
