seg,t_start_s,t_end_s,p_afib,fired
0,33.0,33.9,0.0005,False
1,33.9,34.7,0.0005,False
2,34.7,35.6,0.0005,False
3,35.6,36.4,0.0007,False
4,36.4,37.3,0.0006,False
5,37.3,38.1,0.0005,False
6,38.1,39.0,0.0004,False
7,39.0,39.8,0.0003,False
8,39.8,40.7,0.0002,False
9,40.7,41.5,0.0002,False
10,41.5,42.4,0.0001,False
11,42.4,43.2,0.0001,False
12,43.2,44.1,0.0001,False
13,44.1,44.9,0.0001,False
14,44.9,45.8,0.0001,False
15,45.8,46.7,0.0001,False
16,46.7,47.5,0.0001,False
17,47.5,48.4,0.0001,False
18,48.4,49.2,0.0001,False
19,49.2,50.1,0.0001,False
20,50.1,50.9,0.0001,False
21,50.9,51.8,0.0001,False
22,51.8,52.6,0.0001,False
23,52.6,53.5,0.0001,False
24,53.5,54.3,0.0,False
25,54.3,55.2,0.0,False
26,55.2,56.0,0.0,False
27,56.0,56.9,0.0,False
28,56.9,57.7,0.0,False
29,57.7,58.6,0.0,False
30,58.6,59.5,0.0,False
31,59.5,60.3,0.0,False
32,60.3,61.2,0.0,False
33,61.2,62.0,0.0,False
34,62.0,62.9,0.0,False
35,62.9,63.7,0.0,False
36,63.7,64.6,0.0,False
37,64.6,65.4,0.0,False
38,65.4,66.3,0.0,False
39,66.3,67.1,0.0,False
40,67.1,68.0,0.0,False
41,68.0,68.8,0.0,False
42,68.8,69.7,0.0,False
43,69.7,70.5,0.0,False
44,70.5,71.4,0.0,False
45,71.4,72.3,0.0,False
46,72.3,73.1,0.0,False
47,73.1,74.0,0.0,False
48,74.0,74.8,0.0,False
49,74.8,75.7,0.0,False
50,75.7,76.5,0.0,False
51,76.5,77.4,0.0,False
52,77.4,78.2,0.0,False
53,78.2,79.1,0.0,False
54,79.1,79.9,0.0001,False
55,79.9,80.8,0.0001,False
56,80.8,81.6,0.0001,False
57,81.6,82.5,0.0,False
58,82.5,83.3,0.0,False
59,83.3,84.2,0.0001,False
60,84.2,85.1,0.0001,False
61,85.1,85.9,0.0002,False
62,85.9,86.8,0.0002,False
63,86.8,87.6,0.0002,False
64,87.6,88.5,0.0002,False
65,88.5,89.3,0.0002,False
66,89.3,90.2,0.0002,False
67,90.2,91.0,0.0001,False
68,91.0,91.9,0.0001,False
69,91.9,92.7,0.0,False
70,92.7,93.6,0.0001,False
71,93.6,94.4,0.0119,False
72,94.4,95.3,0.0114,False
73,95.3,96.1,0.0142,False
74,96.1,97.0,0.0191,False
75,97.0,97.9,0.026,False
76,97.9,98.7,0.0281,False
77,98.7,99.6,0.0,False
78,99.6,100.4,0.0,False
79,100.4,101.3,0.0,False
80,101.3,102.1,0.0,False
81,102.1,103.0,0.0,False
82,103.0,103.8,0.0,False
83,103.8,104.7,0.0,False
84,104.7,105.5,0.0,False
85,105.5,106.4,0.0,False
86,106.4,107.2,0.0,False
87,107.2,108.1,0.0,False
88,108.1,108.9,0.0,False
89,108.9,109.8,0.0,False
90,109.8,110.7,0.0,False
91,110.7,111.5,0.0,False
92,111.5,112.4,0.0,False
93,112.4,113.2,0.0,False
94,113.2,114.1,0.0,False
95,114.1,114.9,0.0,False
96,114.9,115.8,0.0,False
97,115.8,116.6,0.0,False
98,116.6,117.5,0.0,False
99,117.5,118.3,0.0,False
100,118.3,119.2,0.0,False
101,119.2,120.0,0.0,False
102,120.0,120.9,0.0,False
103,120.9,121.7,0.0,False
104,121.7,122.6,0.0,False
105,122.6,123.5,0.0,False
