onset_s,offset_s,duration_s,n_windows,n_fired,peak_prob,mean_prob,label,head
252.0,262.0,10.0,1,1,0.714,0.714,Atrial Fibrillation,5
272.0,312.0,40.0,4,4,0.998,0.981,Sinus Tachycardia,6
282.0,312.0,30.0,3,3,0.562,0.536,Atrial Fibrillation,5
462.0,472.0,10.0,1,1,0.635,0.635,Atrial Fibrillation,5
622.0,662.0,40.0,4,3,0.609,0.475,Atrial Fibrillation,5
682.0,712.0,30.0,3,2,0.92,0.652,Atrial Fibrillation,5
872.0,902.0,30.0,3,3,0.958,0.758,Atrial Fibrillation,5
1112.0,1122.0,10.0,1,1,0.82,0.82,Atrial Fibrillation,5
1132.0,1492.0,360.0,36,36,0.995,0.978,Sinus Tachycardia,6
1152.0,1492.0,340.0,34,34,0.983,0.941,Ventricular Run,98
1162.0,1492.0,330.0,33,33,0.972,0.935,Supraventricular Run,93
1512.0,1522.0,10.0,1,1,0.73,0.73,Atrial Fibrillation,5
1522.0,2012.0,490.0,49,49,0.991,0.976,Sinus Tachycardia,6
1522.0,2012.0,490.0,49,48,0.971,0.912,Supraventricular Run,93
1522.0,2012.0,490.0,49,48,0.976,0.935,Ventricular Run,98
3022.0,3042.0,20.0,2,2,0.964,0.927,Atrial Fibrillation,5
3022.0,3362.0,340.0,34,33,0.993,0.851,Sinus Tachycardia,6
3032.0,3112.0,80.0,8,8,0.945,0.826,Ventricular Run,98
3042.0,3112.0,70.0,7,7,0.89,0.794,Supraventricular Run,93
3142.0,3262.0,120.0,12,11,0.843,0.592,Ventricular Run,98
3332.0,3342.0,10.0,1,1,0.632,0.632,Ventricular Run,98
3402.0,3432.0,30.0,3,2,0.623,0.48,Sinus Tachycardia,6
3472.0,3612.0,140.0,14,11,0.738,0.6,Sinus Tachycardia,6
3642.0,3662.0,20.0,2,2,0.782,0.685,Sinus Tachycardia,6
3662.0,3672.0,10.0,1,1,0.994,0.994,Atrial Fibrillation,5
3692.0,3702.0,10.0,1,1,0.727,0.727,Atrial Fibrillation,5
3702.0,3712.0,10.0,1,1,0.793,0.793,Sinus Tachycardia,6
3782.0,3792.0,10.0,1,1,0.754,0.754,Atrial Fibrillation,5
3802.0,3872.0,70.0,7,7,0.84,0.71,Sinus Tachycardia,6
3912.0,3922.0,10.0,1,1,0.576,0.576,Sinus Tachycardia,6
3952.0,3962.0,10.0,1,1,0.812,0.812,Sinus Tachycardia,6
