window_id,t_start_s,t_end_s,activity,motion_mg,p_4,p_5,p_6,p_93,p_98,p_142,detections
4JF9_w0000,212.0,222.0,baseline,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0001,222.0,232.0,baseline,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0002,232.0,242.0,baseline,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0003,242.0,252.0,baseline,1.05,0.061,0.445,0.109,0.065,0.041,0.004,-
4JF9_w0004,252.0,262.0,lift,0.69,0.065,0.714,0.131,0.053,0.068,0.004,Atrial Fibrillation
4JF9_w0005,262.0,272.0,lift,0.71,0.078,0.407,0.16,0.074,0.081,0.003,-
4JF9_w0006,272.0,282.0,lift,0.69,0.044,0.226,0.998,0.095,0.089,0.001,Sinus Tachycardia
4JF9_w0007,282.0,292.0,lift,0.7,0.053,0.544,0.971,0.08,0.072,0.002,Atrial Fibrillation; Sinus Tachycardia
4JF9_w0008,292.0,302.0,lift,0.7,0.06,0.562,0.98,0.126,0.112,0.002,Atrial Fibrillation; Sinus Tachycardia
4JF9_w0009,302.0,312.0,lift,0.7,0.058,0.501,0.975,0.113,0.135,0.003,Atrial Fibrillation; Sinus Tachycardia
4JF9_w0010,312.0,322.0,lift,0.66,0.215,0.147,0.328,0.031,0.067,0.002,-
4JF9_w0011,322.0,332.0,lift,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0012,332.0,342.0,lift,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0013,342.0,352.0,lift,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0014,352.0,362.0,lift,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0015,362.0,372.0,lift,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0016,372.0,382.0,lift,0.73,0.298,0.209,0.095,0.042,0.036,0.001,-
4JF9_w0017,382.0,392.0,lift,0.67,0.97,0.235,0.039,0.036,0.047,0.009,Bradycardia(suppressed)
4JF9_w0018,392.0,402.0,lift,0.7,0.983,0.128,0.031,0.029,0.036,0.002,Bradycardia(suppressed)
4JF9_w0019,402.0,412.0,lift,0.71,0.087,0.37,0.223,0.043,0.045,0.007,-
4JF9_w0020,412.0,422.0,greetings,0.73,0.088,0.294,0.055,0.038,0.031,0.006,-
4JF9_w0021,422.0,432.0,greetings,0.69,0.993,0.14,0.033,0.028,0.038,0.005,Bradycardia(suppressed)
4JF9_w0022,432.0,442.0,greetings,0.7,0.992,0.211,0.047,0.02,0.028,0.007,Bradycardia(suppressed)
4JF9_w0023,442.0,452.0,greetings,0.7,0.96,0.298,0.073,0.034,0.039,0.007,Bradycardia(suppressed)
4JF9_w0024,452.0,462.0,greetings,0.69,0.131,0.342,0.053,0.037,0.038,0.005,-
4JF9_w0025,462.0,472.0,greetings,0.69,0.055,0.635,0.058,0.039,0.033,0.003,Atrial Fibrillation
4JF9_w0026,472.0,482.0,greetings,1.05,0.035,0.098,0.017,0.013,0.011,0.0,-
4JF9_w0027,482.0,492.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0028,492.0,502.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0029,502.0,512.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0030,512.0,522.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0031,522.0,532.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0032,532.0,542.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0033,542.0,552.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0034,552.0,562.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0035,562.0,572.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0036,572.0,582.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0037,582.0,592.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0038,592.0,602.0,greetings,0.42,0.271,0.18,0.325,0.029,0.038,0.009,-
4JF9_w0039,602.0,612.0,greetings,0.63,0.208,0.104,0.462,0.04,0.107,0.001,-
4JF9_w0040,612.0,622.0,greetings,0.7,0.079,0.268,0.065,0.052,0.038,0.003,-
4JF9_w0041,622.0,632.0,gesticulate,0.72,0.038,0.523,0.057,0.023,0.034,0.001,Atrial Fibrillation
