test_set,head,n_pos,model,auroc,pr_auc,sens,ppv
fuzzy,4,64,base,0.9542,0.4368,0.9688,0.1520
fuzzy,4,64,L1,0.9476,0.6147,0.8906,0.1972
fuzzy,5,152,base,0.9816,0.9319,0.9408,0.7371
fuzzy,5,152,L1,0.9819,0.9153,0.9276,0.7500
fuzzy,6,82,base,0.9936,0.8259,0.9756,0.6202
fuzzy,6,82,L1,0.9918,0.8565,0.9634,0.5338
fuzzy,93,5,base,0.9973,0.3536,0.8000,0.3333
fuzzy,93,5,L1,0.9946,0.2031,1.0000,0.0446
fuzzy,98,5,base,0.9970,0.3504,0.8000,0.2857
fuzzy,98,5,L1,0.9971,0.3007,1.0000,0.0391
fuzzy,142,0,base,nan,nan,nan,nan
fuzzy,142,0,L1,nan,nan,nan,nan
