angle,head,n_pos,model,auroc,pr_auc,sens,ppv
45,4,64,base,0.9463,0.3466,0.9688,0.1558
45,4,64,model,0.9471,0.6316,0.9531,0.1576
45,5,152,base,0.9765,0.9239,0.9342,0.8304
45,5,152,model,0.9795,0.9174,0.9211,0.7447
45,6,82,base,0.9937,0.7795,0.9756,0.6612
45,6,82,model,0.9869,0.8154,0.9756,0.5161
45,93,5,base,0.9980,0.4704,0.8000,0.4444
45,93,5,model,0.9980,0.4704,0.8000,0.4444
45,98,5,base,0.9973,0.4181,0.8000,0.3636
45,98,5,model,0.9973,0.4181,0.8000,0.3636
60,4,64,base,0.9542,0.4368,0.9688,0.1520
60,4,64,model,0.9488,0.6570,0.9531,0.1537
60,5,152,base,0.9816,0.9319,0.9408,0.7371
60,5,152,model,0.9810,0.9228,0.9276,0.7194
60,6,82,base,0.9936,0.8259,0.9756,0.6202
60,6,82,model,0.9855,0.8102,0.9756,0.5031
60,93,5,base,0.9973,0.3536,0.8000,0.3333
60,93,5,model,0.9973,0.3536,0.8000,0.3333
60,98,5,base,0.9970,0.3504,0.8000,0.2857
60,98,5,model,0.9970,0.3504,0.8000,0.2857
75,4,64,base,0.9498,0.3946,0.9688,0.1554
75,4,64,model,0.9500,0.6493,0.9531,0.1572
75,5,152,base,0.9780,0.9268,0.9276,0.8343
75,5,152,model,0.9814,0.9168,0.9145,0.7765
75,6,82,base,0.9927,0.7907,0.9756,0.6400
75,6,82,model,0.9821,0.8105,0.9634,0.4788
75,93,5,base,0.9974,0.3668,0.4000,0.2500
75,93,5,model,0.9974,0.3668,0.4000,0.2500
75,98,5,base,0.9970,0.3639,0.6000,0.3000
75,98,5,model,0.9970,0.3639,0.6000,0.3000
90,4,64,base,0.9510,0.3771,0.9688,0.1578
90,4,64,model,0.9492,0.6289,0.9531,0.1609
90,5,152,base,0.9784,0.9274,0.9342,0.8023
90,5,152,model,0.9829,0.9135,0.9211,0.7609
90,6,82,base,0.9855,0.8314,0.9756,0.6504
90,6,82,model,0.9869,0.8001,0.9634,0.4593
90,93,5,base,0.9959,0.3172,0.6000,0.3000
90,93,5,model,0.9959,0.3172,0.6000,0.3000
90,98,5,base,0.9936,0.3389,0.6000,0.3000
90,98,5,model,0.9936,0.3389,0.6000,0.3000
