test_set,head,name,source,model,thr,n_pos,tp,fp,fn,tn,sens,spec,ppv,npv,f1,auroc,pr_auc
PTB-XL lead-II (fold-10),4,SINUS BRADYCARDIA,L1*,base,0.500,64,61,315,3,1819,0.9531,0.8524,0.1622,0.9984,0.2773,0.9440,0.3461
PTB-XL lead-II (fold-10),4,SINUS BRADYCARDIA,L1*,prod,0.431,64,33,29,31,2105,0.5156,0.9864,0.5323,0.9855,0.5238,0.9385,0.4894
PTB-XL lead-II (fold-10),5,ATRIAL FIBRILLATION,L1*,base,0.500,152,142,66,10,1980,0.9342,0.9677,0.6827,0.9950,0.7889,0.9757,0.9092
PTB-XL lead-II (fold-10),5,ATRIAL FIBRILLATION,L1*,prod,0.863,152,138,24,14,2022,0.9079,0.9883,0.8519,0.9931,0.8790,0.9775,0.9201
PTB-XL lead-II (fold-10),6,SINUS TACHYCARDIA,L1*,base,0.500,82,80,164,2,1952,0.9756,0.9225,0.3279,0.9990,0.4908,0.9857,0.8133
PTB-XL lead-II (fold-10),6,SINUS TACHYCARDIA,L1*,prod,0.860,82,66,18,16,2098,0.8049,0.9915,0.7857,0.9924,0.7952,0.9847,0.8247
PTB-XL lead-II (fold-10),93,SUPRAVENTRICULAR TACHYCARDIA,base,base,0.500,5,1,4,4,2189,0.2000,0.9982,0.2000,0.9982,0.2000,0.9964,0.3188
PTB-XL lead-II (fold-10),93,SUPRAVENTRICULAR TACHYCARDIA,base,prod,0.500,5,1,4,4,2189,0.2000,0.9982,0.2000,0.9982,0.2000,0.9964,0.3188
PTB-XL lead-II (fold-10),98,VENTRICULAR TACHYCARDIA,base,base,0.500,5,3,7,2,2186,0.6000,0.9968,0.3000,0.9991,0.4000,0.9967,0.3410
PTB-XL lead-II (fold-10),98,VENTRICULAR TACHYCARDIA,base,prod,0.500,5,3,7,2,2186,0.6000,0.9968,0.3000,0.9991,0.4000,0.9967,0.3410
PTB-XL lead-II (fold-10),142,WITH SINUS PAUSE,base,base,0.500,0,0,0,0,2198,nan,1.0000,nan,1.0000,nan,nan,nan
PTB-XL lead-II (fold-10),142,WITH SINUS PAUSE,base,prod,0.500,0,0,0,0,2198,nan,1.0000,nan,1.0000,nan,nan,nan
"FUZZY derived-lead (fold-10, 4 angles pooled)",4,SINUS BRADYCARDIA,L1*,base,0.500,256,248,1350,8,7186,0.9688,0.8418,0.1552,0.9989,0.2675,0.9492,0.3690
"FUZZY derived-lead (fold-10, 4 angles pooled)",4,SINUS BRADYCARDIA,L1*,prod,0.431,256,238,1137,18,7399,0.9297,0.8668,0.1731,0.9976,0.2918,0.9472,0.5823
"FUZZY derived-lead (fold-10, 4 angles pooled)",5,ATRIAL FIBRILLATION,L1*,base,0.500,608,568,143,40,8041,0.9342,0.9825,0.7989,0.9951,0.8613,0.9786,0.9265
"FUZZY derived-lead (fold-10, 4 angles pooled)",5,ATRIAL FIBRILLATION,L1*,prod,0.863,608,542,86,66,8098,0.8914,0.9895,0.8631,0.9919,0.8770,0.9817,0.8993
"FUZZY derived-lead (fold-10, 4 angles pooled)",6,SINUS TACHYCARDIA,L1*,base,0.500,328,320,178,8,8286,0.9756,0.9790,0.6426,0.9990,0.7748,0.9913,0.8034
"FUZZY derived-lead (fold-10, 4 angles pooled)",6,SINUS TACHYCARDIA,L1*,prod,0.860,328,307,128,21,8336,0.9360,0.9849,0.7057,0.9975,0.8047,0.9905,0.8346
"FUZZY derived-lead (fold-10, 4 angles pooled)",93,SUPRAVENTRICULAR TACHYCARDIA,base,base,0.500,20,13,26,7,8746,0.6500,0.9970,0.3333,0.9992,0.4407,0.9972,0.3295
"FUZZY derived-lead (fold-10, 4 angles pooled)",93,SUPRAVENTRICULAR TACHYCARDIA,base,prod,0.500,20,13,26,7,8746,0.6500,0.9970,0.3333,0.9992,0.4407,0.9972,0.3295
"FUZZY derived-lead (fold-10, 4 angles pooled)",98,VENTRICULAR TACHYCARDIA,base,base,0.500,20,14,31,6,8741,0.7000,0.9965,0.3111,0.9993,0.4308,0.9962,0.3096
"FUZZY derived-lead (fold-10, 4 angles pooled)",98,VENTRICULAR TACHYCARDIA,base,prod,0.500,20,14,31,6,8741,0.7000,0.9965,0.3111,0.9993,0.4308,0.9962,0.3096
"FUZZY derived-lead (fold-10, 4 angles pooled)",142,WITH SINUS PAUSE,base,base,0.500,0,0,0,0,8792,nan,1.0000,nan,1.0000,nan,nan,nan
"FUZZY derived-lead (fold-10, 4 angles pooled)",142,WITH SINUS PAUSE,base,prod,0.500,0,0,0,0,8792,nan,1.0000,nan,1.0000,nan,nan,nan
