group,metric,tp_n,fp_n,tp_median,fp_median,tp_iqr,fp_iqr,tp_mean,fp_mean,cohens_d
OVERALL,mean_motion_mg,4088,6541,11.0553,11.919,"[4.63,13.6]","[10.5,16.4]",12.1423,18.1529,-0.3929
OVERALL,std_motion_mg,4088,6541,49.2107,49.6658,"[24.6,50.3]","[48.8,51.1]",40.6403,53.1855,-0.8431
OVERALL,max_motion_mg,4088,6541,399.664,399.8536,"[392,408]","[394,407]",345.7814,410.497,-0.6492
OVERALL,dynamic_range_mv,4088,6541,0.866,1.1186,"[0.404,1.88]","[0.558,1.82]",1.7717,1.94,-0.0568
OVERALL,flat_pct,4088,6541,0.0,0.0,"[0,0]","[0,0]",0.0129,0.2489,-0.1519
OVERALL,clip_pct,4088,6541,0.0,0.0,"[0,0]","[0,0]",0.0122,0.224,-0.1452
OVERALL,baseline_drift,4088,6541,0.0021,0.0032,"[0.000938,0.00509]","[0.00148,0.00754]",0.0123,0.0647,-0.18
OVERALL,hf_noise_ratio,4088,6541,0.0009,0.0083,"[8.11e-05,0.00816]","[0.00335,0.0272]",0.0212,0.0422,-0.2518
OVERALL,snr_proxy,4088,6541,1.4183,1.0185,"[0.782,2.43]","[0.562,1.99]",1.9179,1.3596,0.4094
OVERALL,kurt,4088,6541,13.8259,7.5716,"[7.52,19.4]","[3.75,12.2]",15.3272,13.4971,0.0572
OVERALL,rr_cv,4087,6536,0.2549,0.2471,"[0.166,0.336]","[0.183,0.297]",0.2636,0.2649,-0.0069
OVERALL,pct_physiologic_hr,4088,6541,100.0,100.0,"[97.1,100]","[97.9,100]",95.4455,96.605,-0.0977
OVERALL,mean_hr_bpm,4087,6536,76.8,91.4286,"[61.4,104]","[76,124]",84.8443,97.9015,-0.4412
OVERALL,sqi_score_ecg,4088,6541,0.8218,0.7588,"[0.721,0.899]","[0.683,0.826]",0.8077,0.7566,0.48
OVERALL,sqi_score_amb,4088,6541,0.722,0.6436,"[0.598,0.82]","[0.552,0.721]",0.7126,0.6307,0.6511
