group,metric,tp_n,fp_n,tp_median,fp_median,tp_iqr,fp_iqr,tp_mean,fp_mean,cohens_d,tp_windows,fp_windows
Atrial Fibrillation,mean_motion_mg,500,500,0.3191,15.7847,"[0.252,0.421]","[12.6,28.2]",0.4501,24.1938,-1.5466,500,500
Atrial Fibrillation,std_motion_mg,500,500,0.7864,49.9266,"[0.702,0.849]","[49.1,53.7]",1.099,54.3132,-5.8918,500,500
Atrial Fibrillation,max_motion_mg,500,500,6.4271,402.1462,"[5.76,7.03]","[396,411]",8.8495,415.3193,-9.8238,500,500
Atrial Fibrillation,dynamic_range_mv,500,500,4.9045,1.4109,"[3.22,8.7]","[0.99,2.94]",6.6086,3.184,0.6854,500,500
Atrial Fibrillation,flat_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0,0.4223,-0.3893,500,500
Atrial Fibrillation,clip_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0034,0.4167,-0.3859,500,500
Atrial Fibrillation,baseline_drift,500,500,0.0116,0.006,"[0.00508,0.027]","[0.00265,0.0129]",0.0311,0.1389,-0.3316,500,500
Atrial Fibrillation,hf_noise_ratio,500,500,0.0001,0.0062,"[3.73e-05,0.000229]","[0.00311,0.0167]",0.0003,0.0246,-0.5969,500,500
Atrial Fibrillation,snr_proxy,500,500,1.7877,0.5684,"[1.29,2.75]","[0.208,1.22]",2.2487,0.8859,1.0586,500,500
Atrial Fibrillation,kurt,500,500,11.6429,6.972,"[8.45,16.1]","[4.11,12.9]",13.379,14.1992,-0.0423,500,500
Atrial Fibrillation,rr_cv,500,500,0.2229,0.2433,"[0.178,0.272]","[0.192,0.317]",0.2362,0.336,-0.4454,500,500
Atrial Fibrillation,pct_physiologic_hr,500,500,100.0,100.0,"[100,100]","[97.6,100]",98.9011,94.0384,0.4568,500,500
Atrial Fibrillation,mean_hr_bpm,500,500,97.2152,98.4615,"[76,120]","[83.9,110]",98.8516,96.9682,0.0699,500,500
Atrial Fibrillation,sqi_score_ecg,500,500,0.852,0.7065,"[0.805,0.906]","[0.642,0.774]",0.8513,0.7162,1.6106,500,500
Atrial Fibrillation,sqi_score_amb,500,500,0.8492,0.5614,"[0.803,0.903]","[0.486,0.642]",0.8475,0.5608,2.8127,500,500
Bradycardia,mean_motion_mg,500,500,9.9758,11.1346,"[3.8,11.4]","[10.3,13.1]",9.098,13.5557,-0.6364,500,500
Bradycardia,std_motion_mg,500,500,49.5292,49.7749,"[24.6,50.1]","[49.3,50.3]",41.3541,50.67,-0.9901,500,500
Bradycardia,max_motion_mg,500,500,399.2572,401.0118,"[196,404]","[397,406]",332.2306,405.034,-0.9966,500,500
Bradycardia,dynamic_range_mv,500,500,0.4671,0.3476,"[0.336,1.14]","[0.279,0.663]",1.0556,1.0488,0.0032,500,500
Bradycardia,flat_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.061,0.0667,-0.0076,500,500
Bradycardia,clip_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0742,0.0733,0.0011,500,500
Bradycardia,baseline_drift,500,500,0.0011,0.0019,"[0.000675,0.00234]","[0.000876,0.0045]",0.0382,0.0287,0.0331,500,500
Bradycardia,hf_noise_ratio,500,500,0.0067,0.0287,"[0.0043,0.012]","[0.0081,0.161]",0.0195,0.08,-0.7037,500,500
Bradycardia,snr_proxy,500,500,1.2038,0.6295,"[0.955,1.91]","[0.411,0.811]",1.4789,0.6303,1.38,500,500
Bradycardia,kurt,500,500,14.8644,4.4515,"[9.24,39.3]","[0.478,9.12]",22.8142,13.1108,0.3398,500,500
Bradycardia,rr_cv,500,500,0.3283,0.2622,"[0.121,0.46]","[0.192,0.306]",0.2967,0.2833,0.0638,500,500
Bradycardia,pct_physiologic_hr,500,500,100.0,98.3192,"[42.6,100]","[95.5,100]",78.072,96.0185,-0.752,500,500
Bradycardia,mean_hr_bpm,500,500,44.9123,116.3636,"[39.5,58.3]","[84.4,140]",56.2145,112.2218,-1.8612,500,500
Bradycardia,sqi_score_ecg,500,500,0.7792,0.6638,"[0.736,0.827]","[0.621,0.727]",0.7839,0.6768,1.4035,500,500
Bradycardia,sqi_score_amb,500,500,0.7018,0.5762,"[0.652,0.774]","[0.545,0.641]",0.7151,0.5866,1.4351,500,500
Isolated Supraventricular Beat,mean_motion_mg,500,500,11.646,10.942,"[9.31,16.1]","[10.1,12.3]",15.1154,13.1239,0.183,500,500
Isolated Supraventricular Beat,std_motion_mg,500,500,50.6229,49.2023,"[48.5,51.6]","[48.8,50.4]",46.2711,50.5537,-0.3908,500,500
Isolated Supraventricular Beat,max_motion_mg,500,500,411.1024,398.1334,"[406,418]","[393,405]",417.6246,401.447,0.3945,500,500
Isolated Supraventricular Beat,dynamic_range_mv,500,500,0.754,1.084,"[0.525,1.06]","[0.737,1.67]",0.9968,1.3917,-0.272,500,500
Isolated Supraventricular Beat,flat_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0,0.0177,-0.1098,500,500
Isolated Supraventricular Beat,clip_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0005,0.0209,-0.1157,500,500
Isolated Supraventricular Beat,baseline_drift,500,500,0.0014,0.0027,"[0.000591,0.00324]","[0.00146,0.00626]",0.0032,0.0137,-0.1544,500,500
Isolated Supraventricular Beat,hf_noise_ratio,500,500,0.0001,0.0059,"[6.27e-05,0.000171]","[0.00298,0.0135]",0.0002,0.0161,-0.7242,500,500
Isolated Supraventricular Beat,snr_proxy,500,500,2.43,1.8566,"[1.49,3.4]","[1.4,2.45]",2.7304,2.0345,0.4731,500,500
Isolated Supraventricular Beat,kurt,500,500,16.7272,8.4617,"[13.1,21.4]","[6.7,12.5]",18.9698,11.3491,0.5498,500,500
Isolated Supraventricular Beat,rr_cv,500,500,0.179,0.2322,"[0.126,0.252]","[0.179,0.271]",0.2043,0.2276,-0.2079,500,500
Isolated Supraventricular Beat,pct_physiologic_hr,500,500,100.0,100.0,"[100,100]","[100,100]",99.3593,96.5371,0.3571,500,500
Isolated Supraventricular Beat,mean_hr_bpm,500,500,69.1892,76.0396,"[62.6,80]","[68.6,90.4]",72.422,79.7959,-0.4851,500,500
Isolated Supraventricular Beat,sqi_score_ecg,500,500,0.9005,0.8307,"[0.835,0.944]","[0.787,0.874]",0.8842,0.8316,0.7182,500,500
Isolated Supraventricular Beat,sqi_score_amb,500,500,0.785,0.7375,"[0.674,0.859]","[0.692,0.776]",0.7556,0.7264,0.2629,500,500
Isolated Ventricular Beat,mean_motion_mg,500,500,11.4342,13.4687,"[4.58,18]","[10.9,20.4]",15.0879,20.1314,-0.3159,500,500
Isolated Ventricular Beat,std_motion_mg,500,500,49.2517,49.8947,"[23,50.8]","[49.2,52.1]",40.6079,54.1657,-0.9089,500,500
Isolated Ventricular Beat,max_motion_mg,500,500,406.6227,401.6321,"[402,414]","[397,410]",414.7074,415.7345,-0.0129,500,500
Isolated Ventricular Beat,dynamic_range_mv,500,500,0.9295,1.1724,"[0.635,1.08]","[0.785,1.58]",1.0161,1.5662,-0.3659,500,500
Isolated Ventricular Beat,flat_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0,0.1044,-0.1593,500,500
Isolated Ventricular Beat,clip_pct,500,500,0.0,0.0,"[0,0]","[0,0]",0.0017,0.0728,-0.1395,500,500
Isolated Ventricular Beat,baseline_drift,500,500,0.0015,0.0032,"[0.000721,0.0035]","[0.00149,0.00648]",0.0043,0.0311,-0.166,500,500
Isolated Ventricular Beat,hf_noise_ratio,500,500,0.0,0.0095,"[3.35e-05,8.55e-05]","[0.00433,0.0168]",0.0001,0.0197,-0.6164,500,500
Isolated Ventricular Beat,snr_proxy,500,500,2.8517,1.6596,"[1.88,5.04]","[0.954,2.23]",3.588,1.7166,1.0361,500,500
Isolated Ventricular Beat,kurt,500,500,14.42,9.7141,"[11.7,19.3]","[7.12,14.5]",16.9859,15.1414,0.0616,500,500
Isolated Ventricular Beat,rr_cv,500,500,0.1247,0.2248,"[0.0933,0.181]","[0.183,0.273]",0.1527,0.2361,-0.7286,500,500
Isolated Ventricular Beat,pct_physiologic_hr,500,500,100.0,100.0,"[100,100]","[100,100]",99.461,98.8137,0.1521,500,500
Isolated Ventricular Beat,mean_hr_bpm,500,500,80.0,83.4783,"[71.1,89.3]","[73.1,98.5]",80.8485,86.5372,-0.3548,500,500
Isolated Ventricular Beat,sqi_score_ecg,500,500,0.9214,0.8151,"[0.865,0.976]","[0.757,0.87]",0.9097,0.8167,1.1994,500,500
Isolated Ventricular Beat,sqi_score_amb,500,500,0.8327,0.6866,"[0.702,0.872]","[0.6,0.746]",0.7789,0.6637,0.9386,500,500
Multiple Event,mean_motion_mg,116,500,3.7993,11.3243,"[3.8,11.8]","[10.4,14.8]",8.1642,15.6574,-0.672,116,500
Multiple Event,std_motion_mg,116,500,24.6385,50.0218,"[24.6,49.9]","[49.5,50.6]",35.8744,51.5768,-1.8956,116,500
Multiple Event,max_motion_mg,116,500,196.2964,402.6884,"[196,405]","[399,407]",286.7386,406.2952,-2.286,116,500
Multiple Event,dynamic_range_mv,116,500,0.4556,0.412,"[0.278,0.854]","[0.255,1.08]",1.122,2.014,-0.2359,116,500
Multiple Event,flat_pct,116,500,0.0,0.0,"[0,0]","[0,0]",0.0425,0.3465,-0.2,116,500
Multiple Event,clip_pct,116,500,0.0,0.0,"[0,0]","[0,0]",0.0026,0.3269,-0.2187,116,500
Multiple Event,baseline_drift,116,500,0.0018,0.0023,"[0.000699,0.00378]","[0.000871,0.00547]",0.0037,0.1041,-0.2592,116,500
Multiple Event,hf_noise_ratio,116,500,0.014,0.0205,"[0.00706,0.0229]","[0.00578,0.0867]",0.0343,0.0676,-0.2976,116,500
Multiple Event,snr_proxy,116,500,0.9647,0.6703,"[0.619,1.87]","[0.357,0.946]",1.268,0.7182,0.893,116,500
Multiple Event,kurt,116,500,8.3072,7.2461,"[3.45,20.5]","[2.75,13.5]",14.9885,17.6063,-0.0365,116,500
Multiple Event,rr_cv,116,500,0.2671,0.2684,"[0.168,0.345]","[0.195,0.341]",0.2633,0.3207,-0.2248,116,500
Multiple Event,pct_physiologic_hr,116,500,100.0,98.3867,"[96.4,100]","[95.5,100]",96.5311,94.4451,0.171,116,500
Multiple Event,mean_hr_bpm,116,500,76.8,94.8148,"[55.7,90.9]","[79.2,135]",79.9066,103.1452,-0.7335,116,500
Multiple Event,sqi_score_ecg,116,500,0.7331,0.7079,"[0.665,0.866]","[0.631,0.757]",0.7583,0.7019,0.6549,116,500
Multiple Event,sqi_score_amb,116,500,0.6925,0.6038,"[0.627,0.769]","[0.542,0.665]",0.6952,0.5966,1.0037,116,500
