Parameter,Threshold,Event Type,FP Count,FP Gated,FP Suppression (%),TP Count,TP Lost,TP Preserved (%)
AFib Mean Dynamic Motion (mG),5.0,Atrial Fibrillation,200,150,75.0,200,62,69.0
AFib Mean Dynamic Motion (mG),8.0,Atrial Fibrillation,200,115,57.49999999999999,200,30,85.0
AFib Mean Dynamic Motion (mG),10.0,Atrial Fibrillation,200,99,49.5,200,13,93.5
AFib Mean Dynamic Motion (mG),12.0,Atrial Fibrillation,200,87,43.5,200,9,95.5
AFib Mean Dynamic Motion (mG),15.0,Atrial Fibrillation,200,73,36.5,200,3,98.5
AFib Mean Dynamic Motion (mG),20.0,Atrial Fibrillation,200,55,27.500000000000004,200,0,100.0
AFib Mean Dynamic Motion (mG),25.0,Atrial Fibrillation,200,42,21.0,200,0,100.0
AFib Mean Dynamic Motion (mG),30.0,Atrial Fibrillation,200,34,17.0,200,0,100.0
AFib Mean Dynamic Motion (mG),40.0,Atrial Fibrillation,200,18,9.0,200,0,100.0
AFib Mean Dynamic Motion (mG),50.0,Atrial Fibrillation,200,10,5.0,200,0,100.0
AFib Mean Dynamic Motion (mG),75.0,Atrial Fibrillation,200,3,1.5,200,0,100.0
AFib Mean Dynamic Motion (mG),100.0,Atrial Fibrillation,200,2,1.0,200,0,100.0
AFib Mean Dynamic Motion (mG),150.0,Atrial Fibrillation,200,0,0.0,200,0,100.0
Pause / Prolonged RR Max Spike (mG),30.0,Pause,200,30,15.0,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),30.0,Prolonged RR Interval,17,9,52.94117647058824,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),50.0,Pause,200,19,9.5,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),50.0,Prolonged RR Interval,17,8,47.05882352941176,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),67.0,Pause,200,15,7.5,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),67.0,Prolonged RR Interval,17,5,29.411764705882355,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),80.0,Pause,200,14,7.000000000000001,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),80.0,Prolonged RR Interval,17,4,23.52941176470588,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),100.0,Pause,200,12,6.0,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),100.0,Prolonged RR Interval,17,4,23.52941176470588,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),150.0,Pause,200,11,5.5,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),150.0,Prolonged RR Interval,17,4,23.52941176470588,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),200.0,Pause,200,4,2.0,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),200.0,Prolonged RR Interval,17,3,17.647058823529413,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),300.0,Pause,200,2,1.0,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),300.0,Prolonged RR Interval,17,1,5.88235294117647,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),400.0,Pause,200,1,0.5,0,N/A,N/A
Pause / Prolonged RR Max Spike (mG),400.0,Prolonged RR Interval,17,0,0.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),30.0,Sinus Tachycardia,200,127,63.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),30.0,Ventricular Run,200,127,63.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),50.0,Sinus Tachycardia,200,103,51.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),50.0,Ventricular Run,200,104,52.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),67.0,Sinus Tachycardia,200,99,49.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),67.0,Ventricular Run,200,91,45.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),80.0,Sinus Tachycardia,200,93,46.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),80.0,Ventricular Run,200,84,42.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),100.0,Sinus Tachycardia,200,85,42.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),100.0,Ventricular Run,200,74,37.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),150.0,Sinus Tachycardia,200,70,35.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),150.0,Ventricular Run,200,56,28.000000000000004,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),200.0,Sinus Tachycardia,200,62,31.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),200.0,Ventricular Run,200,44,22.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),300.0,Sinus Tachycardia,200,47,23.5,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),300.0,Ventricular Run,200,20,10.0,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),400.0,Sinus Tachycardia,200,29,14.499999999999998,0,N/A,N/A
Tachycardia / VT Run Max Motion (mG),400.0,Ventricular Run,200,12,6.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.0,Isolated Ventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.0,Isolated Supraventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.0,Supraventricular Couplet,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.0,Ventricular Couplet,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.25,Isolated Ventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.25,Isolated Supraventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.25,Supraventricular Couplet,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.25,Ventricular Couplet,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.5,Isolated Ventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.5,Isolated Supraventricular Beat,200,200,100.0,0,N/A,N/A
Ectopic Peak-to-Baseline Ratio,1.5,Supraventricular Couplet,200,200,100.0,0,N/A,N/A
