event_type,n,in_label_map,class_idx,suppressor_target,bs_0.5_detected,bs_0.5_detect_pct,bs_0.5_retained,bs_0.5_retain_pct,bs_0.5_supp_loss_pct,bs_0.6_detected,bs_0.6_detect_pct,bs_0.6_retained,bs_0.6_retain_pct,bs_0.6_supp_loss_pct,bs_0.7_detected,bs_0.7_detect_pct,bs_0.7_retained,bs_0.7_retain_pct,bs_0.7_supp_loss_pct
Atrial Fibrillation,200,True,5,Atrial Fibrillation,193,96.5,193,96.5,0.0,187,93.5,187,93.5,0.0,177,88.5,177,88.5,0.0
Isolated Supraventricular Beat,200,True,16,none,124,62.0,124,62.0,0.0,111,55.5,111,55.5,0.0,82,41.0,82,41.0,0.0
Isolated Ventricular Beat,200,True,9,none,164,82.0,164,82.0,0.0,158,79.0,158,79.0,0.0,147,73.5,147,73.5,0.0
Pause,82,True,143,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Prolonged RR Interval,169,True,81,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Couplet,200,True,20,none,1,0.5,1,0.5,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Ventricular Couplet,36,True,91,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Ventricular Run,200,True,99,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Bradycardia,200,False,5,Bradycardia,23,11.5,19,9.5,17.391304347826086,18,9.0,14,7.0,22.22222222222222,12,6.0,9,4.5,25.0
Multiple Event,116,False,5,none,73,62.93103448275862,73,62.93103448275862,0.0,65,56.03448275862069,65,56.03448275862069,0.0,49,42.241379310344826,49,42.241379310344826,0.0
ST Elevation,1,False,5,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Bigeminy,64,False,5,none,59,92.1875,59,92.1875,0.0,58,90.625,58,90.625,0.0,57,89.0625,57,89.0625,0.0
Supraventricular Run,26,False,5,none,19,73.07692307692308,19,73.07692307692308,0.0,19,73.07692307692308,19,73.07692307692308,0.0,12,46.15384615384615,12,46.15384615384615,0.0
Supraventricular Trigeminy,76,False,5,Supraventricular Trigeminy,17,22.36842105263158,17,22.36842105263158,0.0,9,11.842105263157896,9,11.842105263157896,0.0,4,5.2631578947368425,4,5.2631578947368425,0.0
Unknown,200,False,5,none,187,93.5,187,93.5,0.0,181,90.5,181,90.5,0.0,163,81.5,163,81.5,0.0
Ventricular Bigeminy,2,False,5,none,1,50.0,1,50.0,0.0,1,50.0,1,50.0,0.0,1,50.0,1,50.0,0.0
Ventricular Trigeminy,16,False,5,Ventricular Trigeminy,4,25.0,2,12.5,50.0,2,12.5,0,0.0,100.0,2,12.5,0,0.0,100.0
