event_type,n,in_label_map,class_idx,suppressor_target,bs_0.5_detected,bs_0.5_detect_pct,bs_0.5_retained,bs_0.5_retain_pct,bs_0.5_supp_loss_pct,bs_0.6_detected,bs_0.6_detect_pct,bs_0.6_retained,bs_0.6_retain_pct,bs_0.6_supp_loss_pct,bs_0.7_detected,bs_0.7_detect_pct,bs_0.7_retained,bs_0.7_retain_pct,bs_0.7_supp_loss_pct
Atrial Fibrillation,500,True,5,none,489,97.8,489,97.8,0.0,481,96.2,481,96.2,0.0,470,94.0,470,94.0,0.0
Bradycardia,500,True,4,none,472,94.4,472,94.4,0.0,470,94.0,470,94.0,0.0,468,93.6,468,93.6,0.0
Isolated Supraventricular Beat,500,True,16,none,268,53.6,268,53.6,0.0,218,43.6,218,43.6,0.0,160,32.0,160,32.0,0.0
Isolated Ventricular Beat,500,True,9,none,393,78.6,393,78.6,0.0,372,74.4,372,74.4,0.0,349,69.8,349,69.8,0.0
Pause,82,True,142,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
ST Elevation,1,True,68,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Bigeminy,64,True,16,none,50,78.125,50,78.125,0.0,42,65.625,42,65.625,0.0,33,51.5625,33,51.5625,0.0
Supraventricular Couplet,500,True,19,none,22,4.4,22,4.4,0.0,7,1.4,7,1.4,0.0,4,0.8,4,0.8,0.0
Supraventricular Run,26,True,93,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Supraventricular Trigeminy,76,True,16,none,73,96.05263157894737,73,96.05263157894737,0.0,68,89.47368421052632,68,89.47368421052632,0.0,58,76.3157894736842,58,76.3157894736842,0.0
Ventricular Couplet,36,True,9,none,29,80.55555555555556,29,80.55555555555556,0.0,22,61.111111111111114,22,61.111111111111114,0.0,20,55.55555555555556,20,55.55555555555556,0.0
Ventricular Run,500,True,98,none,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
Multiple Event,116,False,5,none,66,56.89655172413793,66,56.89655172413793,0.0,61,52.58620689655172,61,52.58620689655172,0.0,56,48.275862068965516,56,48.275862068965516,0.0
Prolonged RR Interval,169,False,5,none,31,18.34319526627219,31,18.34319526627219,0.0,19,11.242603550295858,19,11.242603550295858,0.0,10,5.9171597633136095,10,5.9171597633136095,0.0
Unknown,500,False,5,none,455,91.0,455,91.0,0.0,388,77.6,388,77.6,0.0,280,56.0,280,56.0,0.0
Ventricular Bigeminy,2,False,5,none,1,50.0,1,50.0,0.0,1,50.0,1,50.0,0.0,1,50.0,1,50.0,0.0
Ventricular Trigeminy,16,False,5,none,1,6.25,1,6.25,0.0,1,6.25,1,6.25,0.0,1,6.25,1,6.25,0.0
